"","X","n_samples","h2","prop_effect","S","flb","mse","rmse","rel_mse","flb_error","mse_error","rmse_error","rel_mse_error","method"
"1",1,30000,0.3,0.01,-1,1,-0.00216665954953388,-0.0288721388487094,-0.862563110174274,0,0.00175395506987164,0.0105502078058376,0.120111950286756,"EB"
"2",11,3e+05,0.3,0.01,-1,0.651371032638763,-6.28342280957855e-06,-0.000894827257483208,-0.400355638879393,0.0121365025307417,7.02825972423369e-07,9.98572496997468e-05,0.0376110559935844,"EB"
"3",21,30000,0.8,0.01,-1,0.92920076872022,-0.000322365091819801,-0.0117092957954483,-0.839516804657731,0.046537929642958,0.000110041550565917,0.00239966106011516,0.0536561818811613,"EB"
"4",31,3e+05,0.8,0.01,-1,0.557771445066377,-1.63976619284374e-06,-0.000229133034959658,-0.120070327359584,0.00926072121539603,3.16760085513993e-07,4.46499937499561e-05,0.0225427603525584,"EB"
"5",41,30000,0.3,0.001,-1,0.593768987021424,-3.39284586143039e-05,-0.00154174788911533,-0.217227053744334,0.10329387497448,4.3815852043559e-05,0.00164565594702002,0.225886302138363,"EB"
"6",51,3e+05,0.3,0.001,-1,0.358103427465158,7.89258181918814e-08,1.18171971214006e-05,0.00754404784517277,0.030861727523957,5.38021721490137e-07,6.92889479832992e-05,0.0361838882713216,"EB"
"7",61,30000,0.8,0.001,-1,0.450084376968179,-5.48737645651715e-06,-0.00025402515649825,-0.0446626917339992,0.0484517622757123,6.88249745621022e-06,0.000308550529072868,0.053148507454837,"EB"
"8",71,3e+05,0.8,0.001,-1,0.322820125944275,2.74911468144361e-07,3.43461250069649e-05,0.0176918332021447,0.028233724864362,4.37792057906693e-07,5.43251201404721e-05,0.0278234465640531,"EB"
"9",81,30000,0.3,0.01,0,1,-0.000826278737376171,-0.0207508187544869,-0.885730521763403,0,0.000593302687739906,0.00821091992665048,0.127298926037283,"EB"
"10",91,3e+05,0.3,0.01,0,0.652386834190585,-4.66079344594324e-06,-0.000773945728712811,-0.403704292274671,0.0132287563247316,3.39030412711373e-07,4.19792604477653e-05,0.0135557326983114,"EB"
"11",101,30000,0.8,0.01,0,0.979110367892977,-0.000312175977714128,-0.011159363812684,-0.807041120553335,0.0220771378727871,4.83065028584398e-05,0.00153302249559413,0.097346819221928,"EB"
"12",111,3e+05,0.8,0.01,0,0.546312092642652,-1.16555756271031e-06,-0.000186478483456072,-0.112503023422574,0.024699093540334,1.06265281127182e-07,1.72925231311298e-05,0.010399495485178,"EB"
"13",121,30000,0.3,0.001,0,0.675037636639553,-3.34860610225761e-05,-0.00176310794026824,-0.30899843531284,0.0385468044907388,9.10456579473234e-06,0.000443149614272821,0.0593686267698988,"EB"
"14",131,3e+05,0.3,0.001,0,0.345283569983023,-1.59815642913374e-07,-2.17473528072684e-05,-0.0110999481747612,0.0346980962683415,4.66501232175408e-07,6.60384295910877e-05,0.0364811120592167,"EB"
"15",141,30000,0.8,0.001,0,0.446937646742971,-9.6713877429738e-06,-0.000471626880900837,-0.0874319936057243,0.0297522543495864,4.59335149736111e-06,0.000215752216566672,0.0382426582630203,"EB"
"16",151,3e+05,0.8,0.001,0,0.329514831527204,1.61788423114097e-07,2.28384191846723e-05,0.0131143604916052,0.0280302162599648,1.96459858903852e-07,2.78838456418947e-05,0.0162593037633016,"EB"
"17",161,30000,0.3,0.01,1,1,-0.00234790180518624,-0.0320302673646156,-0.939365658889773,0,0.00292815830010125,0.0155143219976144,0.0845269791035842,"EB"
"18",171,3e+05,0.3,0.01,1,0.66939501366754,-5.69148018909175e-06,-0.000970092143159753,-0.486576375116876,0.0162586878398032,3.72025526370103e-07,6.64688904847019e-05,0.027591482091446,"EB"
"19",181,30000,0.8,0.01,1,1,-0.000446317604786188,-0.0139722710896498,-0.849329270068789,0,0.000118805332508852,0.0017515829630619,0.0532443913535417,"EB"
"20",191,3e+05,0.8,0.01,1,0.522799354742886,-1.12392547898568e-06,-0.000187178019814979,-0.117257390386273,0.035541518869049,8.68774974171812e-08,1.29580054410913e-05,0.00688442145750112,"EB"
"21",201,30000,0.3,0.001,1,0.733455675071092,-6.30321374996652e-05,-0.00331818618852965,-0.507568131593921,0.0434982705339087,1.45841091900545e-05,0.000513949903505258,0.0460611226691361,"EB"
"22",211,3e+05,0.3,0.001,1,0.313131416904508,-1.99412450595912e-08,-2.19739332191619e-06,-0.000251505882624275,0.0244221819857131,4.97837867572116e-07,6.98330741458369e-05,0.0405282341306818,"EB"
"23",221,30000,0.8,0.001,1,0.37022486112912,-6.44369713116275e-06,-0.000340126353764665,-0.0679087177411949,0.0699639634895003,5.52518347007531e-06,0.000290343132906568,0.0585624028886975,"EB"
"24",231,3e+05,0.8,0.001,1,0.301656857191132,4.97248936432286e-08,6.42889164097302e-06,0.00362109872721779,0.0313000013696929,3.43755368835646e-07,4.72664709058665e-05,0.0261666415319817,"EB"
"25",12,30000,0.3,0.01,-1,1,-0.00214169247733987,-0.0289563628591196,-0.861106004579811,0,0.00167703751673527,0.00827430179778903,0.11593807179728,"FIQT"
"26",112,3e+05,0.3,0.01,-1,0.461196136181222,-1.54700541879165e-06,-0.000199974708116185,-0.096070716212694,0.0134692178482756,1.10011353781372e-06,0.000142014939075754,0.0689405838137269,"FIQT"
"27",212,30000,0.8,0.01,-1,0.800131950429433,-0.000313389813272387,-0.0110700996588875,-0.796790817518867,0.0799661514128764,0.000130365935702025,0.00356023521542216,0.0913974075829072,"FIQT"
"28",311,3e+05,0.8,0.01,-1,0.277563050348652,3.43426077491229e-06,0.000438856539267288,0.252481325336704,0.010270254531048,4.65174109824071e-07,5.91578699043993e-05,0.0389175016657544,"FIQT"
"29",411,30000,0.3,0.001,-1,0.364743203098582,7.01426659823212e-05,0.00245606300314933,0.439203724700114,0.0509830328067571,4.02253259057476e-05,0.00140172138522047,0.286928954917327,"FIQT"
"30",511,3e+05,0.3,0.001,-1,0.131189540837365,6.72302305995717e-06,0.000801570188783722,0.473373441938065,0.0127476692635686,1.41278424994444e-06,0.000171194321709186,0.125595662531775,"FIQT"
"31",611,30000,0.8,0.001,-1,0.204973630567709,0.000113038555253424,0.00429885611804951,0.947757842712901,0.0290123554762538,2.3459366527151e-05,0.000751912678360767,0.200208066554855,"FIQT"
"32",711,3e+05,0.8,0.001,-1,0.106462454842284,3.32567687493477e-06,0.000410746772971436,0.227853628256936,0.0112398281745471,1.02115547150741e-06,0.000124568476027356,0.0769618432456538,"FIQT"
"33",811,30000,0.3,0.01,0,1,-0.00083711262037502,-0.0219640723493133,-0.902344891595807,0,0.00059519578584971,0.00833904222748381,0.117264056053529,"FIQT"
"34",911,3e+05,0.3,0.01,0,0.460171314440198,-8.17465138343051e-07,-0.000121804995740285,-0.0690017748707666,0.0107829003628179,5.77139826755704e-07,8.50381438169259e-05,0.0468284709651245,"FIQT"
"35",1011,30000,0.8,0.01,0,0.908958658258429,-0.000344795922692873,-0.0128594062895466,-0.875867493166476,0.0484894468606337,7.5560632191994e-05,0.00169582417645885,0.0377809845619155,"FIQT"
"36",1111,3e+05,0.8,0.01,0,0.262012203988854,2.49085028773451e-06,0.000366106229163985,0.240882269514882,0.0101544458384208,3.04840538131458e-07,4.49088227385634e-05,0.0331002265152173,"FIQT"
"37",1211,30000,0.3,0.001,0,0.354326891983053,6.350633318598e-05,0.00271311918963631,0.618125545341395,0.0427801449939664,2.43317979407478e-05,0.001016276586641,0.297079803106666,"FIQT"
"38",1311,3e+05,0.3,0.001,0,0.13134792357837,4.42459653062875e-06,0.000595456393978901,0.386762021770247,0.0111879555196907,1.59884072136573e-06,0.000206757608306275,0.14363846765844,"FIQT"
"39",1411,30000,0.8,0.001,0,0.200636316618885,6.66963628416379e-05,0.00283900149361312,0.634078561315819,0.0204500708447364,1.03887850353924e-05,0.000510369458680691,0.163312253116876,"FIQT"
"40",1511,3e+05,0.8,0.001,0,0.102868966873941,4.30633469998693e-06,0.000556291594353,0.338157450821301,0.0124169860959428,1.23063374113115e-06,0.000150964549201987,0.104581843757299,"FIQT"
"41",1611,30000,0.3,0.01,1,1,-0.00238830941611191,-0.0327963612267178,-0.945387930168049,0,0.00299770717757654,0.0165371721639428,0.0746581512306285,"FIQT"
"42",1711,3e+05,0.3,0.01,1,0.500898134445656,-2.46253647284113e-06,-0.000380944760981697,-0.209842051702107,0.0131296136753252,3.9103056323031e-07,5.77956923114567e-05,0.0272547153784141,"FIQT"
"43",1811,30000,0.8,0.01,1,0.954004329004329,-0.00048056203460531,-0.0163046981344113,-0.917421858842513,0.0419880256843911,0.000114914718564256,0.00132483037796638,0.0462439401135009,"FIQT"
"44",1911,3e+05,0.8,0.01,1,0.251903748952192,3.02773570566843e-06,0.000455668364086867,0.316582882661572,0.00900453814359301,2.6227836784423e-07,3.91850573119446e-05,0.0315523969372807,"FIQT"
"45",2011,30000,0.3,0.001,1,0.422885588368283,7.99905742486519e-06,0.000378291419780762,0.092942110775035,0.0363057472130233,2.48287376765279e-05,0.00109470103964364,0.221278029113295,"FIQT"
"46",2111,3e+05,0.3,0.001,1,0.113405213689371,4.20838831818206e-06,0.000554915906653939,0.348959480678575,0.0106926373090109,1.28823060451375e-06,0.000184094855141995,0.151936030852787,"FIQT"
"47",2211,30000,0.8,0.001,1,0.184215650719633,7.68667427190379e-05,0.00334140242258699,0.802027125584204,0.0143105793346771,1.07650198611889e-05,0.00043034692505498,0.136989561823432,"FIQT"
"48",2311,3e+05,0.8,0.001,1,0.0988888572573858,3.23483857347822e-06,0.000424271492037416,0.252630879494564,0.0110075616346629,1.03112526244949e-06,0.000134338423733453,0.0896407065011968,"FIQT"
"49",13,30000,0.3,0.01,-1,1,-0.00232715454078875,-0.0307858085229308,-0.880121906252509,0,0.00193554546750412,0.0147173839012684,0.055698780777797,"BR"
"50",113,3e+05,0.3,0.01,-1,0.629050630346031,-5.55092129066413e-06,-0.000778253037133465,-0.353519237871006,0.016161304872674,8.6242952326121e-07,0.000124906649384464,0.0495436305920588,"BR"
"51",213,30000,0.8,0.01,-1,0.855436763846375,-0.000331936065509885,-0.0122858903517594,-0.85543350667799,0.075621711373717,0.000121697514451978,0.00316239872310888,0.0547015927944129,"BR"
"52",312,3e+05,0.8,0.01,-1,0.536449324711216,-7.31411736444912e-07,-0.000100552694717705,-0.0535299708273004,0.0114715351678607,3.39553067566654e-07,4.75777114836089e-05,0.0252039306485144,"BR"
"53",412,30000,0.3,0.001,-1,0.53067421422601,1.28770911402882e-05,0.000422940492801106,0.0815715884398426,0.0363832708257931,4.31255578404539e-05,0.00152876858346922,0.248167797583969,"BR"
"54",512,3e+05,0.3,0.001,-1,0.271040082771493,1.12336298516748e-05,0.00126535468821522,0.784160354919483,0.0238276321530366,1.8953492326386e-06,0.000193042049137078,0.158630336416381,"BR"
"55",612,30000,0.8,0.001,-1,0.305751926046662,9.66905549663623e-05,0.00374971483203799,0.810967475577383,0.021539725236059,2.53066334000399e-05,0.000832457545159793,0.209890843101859,"BR"
"56",712,3e+05,0.8,0.001,-1,0.284310579553545,8.54115159361735e-06,0.000983730925114822,0.581927832734492,0.0401155703129176,1.56140421930808e-06,0.000163859731455944,0.119910516862297,"BR"
"57",812,30000,0.3,0.01,0,1,-0.000810127195916241,-0.0192491873044478,-0.851310793611463,0,0.00060909598954188,0.00854757111183042,0.143394810080944,"BR"
"58",912,3e+05,0.3,0.01,0,0.63164375892245,-4.2913522992774e-06,-0.000704496376057073,-0.371285430825776,0.0128202757542717,4.84587046392697e-07,7.18753778060255e-05,0.0284560182957066,"BR"
"59",1012,30000,0.8,0.01,0,0.943990716292776,-0.000345571057435302,-0.0130572210957324,-0.885204294177788,0.0469797403464668,5.98433151987185e-05,0.000885769046637342,0.0433182313769746,"BR"
"60",1112,3e+05,0.8,0.01,0,0.537719210853403,-1.07151782498419e-06,-0.000170834873366779,-0.103156124159604,0.0118844594309199,1.75547894226709e-07,2.70173190543784e-05,0.0150541761981108,"BR"
"61",1212,30000,0.3,0.001,0,0.552942984683641,2.86828709754794e-07,3.80608871771681e-06,0.0184937149790704,0.0565223087507593,2.13620850358234e-05,0.00105052676077684,0.214463033731176,"BR"
"62",1312,3e+05,0.3,0.001,0,0.286152407735957,6.15702882253177e-06,0.000804135013551175,0.534774677908941,0.0301960341534127,1.91548953497285e-06,0.000231440276347404,0.168793320269044,"BR"
"63",1412,30000,0.8,0.001,0,0.323861533910453,5.11565830000296e-05,0.00223286332047198,0.483022701238557,0.0375839098691522,6.65669953356952e-06,0.000335439315700156,0.10324878725464,"BR"
