"","n_samples","h2","prop_effect","S","flb","mse","rmse","rel_mse","flb_error","mse_error","rmse_error","rel_mse_error","method"
"1",30000,0.3,0.01,-1,1,-0.00121840740929616,-0.0258340679762271,-0.923801799828356,0,0.00099526732963449,0.00743994790571108,0.102913878757343,"EB"
"51",3e+05,0.3,0.01,-1,0.647805302113798,-6.76438266627656e-06,-0.000931402981031614,-0.402974802815414,0.0149123613116518,8.45804414706379e-07,9.10846699494766e-05,0.0255917717187959,"EB"
"101",30000,0.8,0.01,-1,0.953372062917272,-0.000376492675241789,-0.0120272622822259,-0.800206383579009,0.0470844601546771,0.000132688835225579,0.0027380822674158,0.082010755250436,"EB"
"151",3e+05,0.8,0.01,-1,0.558162884097828,-1.73535723739636e-06,-0.000241482679455159,-0.12574772145308,0.0151764842977602,2.75963021832602e-07,3.55696154888936e-05,0.0164314949136931,"EB"
"201",30000,0.3,0.001,-1,0.574786268076551,-4.07331932450799e-05,-0.00173712091694436,-0.234331878605741,0.0935596181335276,3.63194961049856e-05,0.0014512128317614,0.253684844291356,"EB"
"251",3e+05,0.3,0.001,-1,0.3689460598593,-1.25638304985137e-07,-1.68820723935241e-05,-0.00863806277284949,0.0364116751930172,4.06682435620804e-07,5.33668766781267e-05,0.0281221354236475,"EB"
"301",30000,0.8,0.001,-1,0.480711041863588,-1.13758254601704e-05,-0.000487104368860574,-0.0790710382758008,0.0632926634306836,7.89929757899458e-06,0.000332034533992935,0.052449486150437,"EB"
"351",3e+05,0.8,0.001,-1,0.330495465776107,2.87654960126177e-07,3.67341196417742e-05,0.0193045792762987,0.0246902561734401,4.02219744859669e-07,5.04538897781759e-05,0.0262993371818917,"EB"
"401",30000,0.3,0.01,0,1,-0.000921164765583567,-0.0251771534809247,-0.959601610673998,0,0.000471233546708811,0.0058920598882324,0.0538258665074847,"EB"
"451",3e+05,0.3,0.01,0,0.654652682064055,-4.67117393760712e-06,-0.000774560224739911,-0.403347727363504,0.0157417316950687,4.22679508409729e-07,6.02289627790126e-05,0.0255127427524486,"EB"
"501",30000,0.8,0.01,0,0.976703991427676,-0.000353243339885446,-0.0116594981025927,-0.808054803059853,0.0347122609076805,0.000206752662066381,0.00296771023151928,0.0671754403501351,"EB"
"551",3e+05,0.8,0.01,0,0.53705097368931,-1.11021322913465e-06,-0.000179495384946669,-0.10955863228807,0.0325415524942935,1.44980461393181e-07,2.29709283607637e-05,0.0132361576351357,"EB"
"601",30000,0.3,0.001,0,0.631496319124262,-3.85147595945638e-05,-0.00178734895205716,-0.281698618650669,0.076719058275001,4.66641784698664e-05,0.00138480580562102,0.132433518634384,"EB"
"651",3e+05,0.3,0.001,0,0.367260749637544,-1.29638747282973e-07,-1.83733182144588e-05,-0.0100898618085625,0.0319472232095922,2.83546489759863e-07,4.18949127591335e-05,0.0248657994532329,"EB"
"701",30000,0.8,0.001,0,0.445656951461775,-6.88465262419778e-06,-0.000343887346344341,-0.0645687503597786,0.0769002753705861,6.74589964306322e-06,0.000331603246541251,0.0639117296817306,"EB"
"751",3e+05,0.8,0.001,0,0.327668977020496,8.13424804759632e-08,1.13319668501755e-05,0.0064691369439013,0.0318553948742174,2.12694138489528e-07,2.95197646556107e-05,0.0164918155686276,"EB"
"801",30000,0.3,0.01,1,1,-0.0014630594262688,-0.0300234539764128,-0.983113818309992,0,0.00227475776540654,0.0103473384929585,0.0307647886046084,"EB"
"851",3e+05,0.3,0.01,1,0.684293515406248,-5.85123376777942e-06,-0.000988654932219213,-0.490279026411487,0.0201503151946858,4.96724089460535e-07,7.41266610229924e-05,0.0275185752981243,"EB"
"901",30000,0.8,0.01,1,0.98892201426025,-0.0003765085392022,-0.0125303420651759,-0.817801335186419,0.0454525864491555,8.12978437008436e-05,0.00237854932577653,0.11993986736513,"EB"
"951",3e+05,0.8,0.01,1,0.497928059332906,-1.10340511173096e-06,-0.00018272474286213,-0.113991102318856,0.0379161064297483,1.32350115384499e-07,2.13533574137316e-05,0.0127461775720397,"EB"
"1001",30000,0.3,0.001,1,0.680489480896666,-4.99238838658832e-05,-0.00260118868347291,-0.412713679870402,0.0775619266187087,1.8594802739745e-05,0.000903929415363716,0.126313937145571,"EB"
