"","n_samples","h2","prop_effect","S","wc_10_norm","wc_100_norm","wc_10_bim","wc_100_bim","wc_10_exp","wc_100_exp","wc_10_norm_error","wc_100_norm_error","wc_10_bim_error","wc_100_bim_error","wc_10_exp_error","wc_100_exp_error"
"1",30000,0.3,0.01,-1,1579.47736269009,1307.73938148836,21.4318923784347,15.8089844750109,4.58718238886857,9.11526612050146,1181.26054022592,327.01233442242,15.9352057410295,3.37850077546607,4.1972197934251,2.27890456679334
"101",3e+05,0.3,0.01,-1,231.964426203168,96.3373000205043,2.89126670638186,2.11526036361012,1.53967538447714,1.22963502473368,317.539656133617,64.2218217914729,1.47477406677158,0.512378850207914,1.32613123762372,0.383862899096034
"201",30000,0.8,0.01,-1,596.518505932767,282.951275701869,7.02400077621204,4.59591937170798,2.09398681229624,1.87049796450635,521.040777947852,104.142974218234,5.13278246795954,1.26302568668981,1.83633350253487,0.548513520044197
"301",3e+05,0.8,0.01,-1,99.9473783549336,40.6074394236645,2.29351424507402,1.48142640996255,1.38839723653161,1.20482028594001,185.986218132441,37.7204904208941,1.46165336626403,0.415426729465908,1.18605939467086,0.348297323095318
"401",30000,0.3,0.001,-1,122.771212462694,43.392633794175,2.61068066707479,1.57154153121984,1.56921762251847,1.32052250654541,182.550311613404,40.8603794092365,1.58152852732078,0.578297854994868,1.20597116806904,0.43838415916964
"501",3e+05,0.3,0.001,-1,54.9656934205944,8.69480766179964,1.55810602978608,1.10064707921357,1.42230462016989,1.09515418406233,144.814441968028,33.2776042192512,0.979978738212056,0.309667781668637,1.90577962233252,0.316035509807518
"601",30000,0.8,0.001,-1,76.97458202024,17.1204547328622,1.69210182186587,1.23832681492906,1.38721397537254,1.14502937863519,155.005506979873,45.9501081384745,1.22808029023056,0.387061647936267,1.24003057738342,0.364895139404899
"701",3e+05,0.8,0.001,-1,52.1816261066027,2.63920076192899,1.43071987243346,1.11092807380022,1.4204218641055,1.03225777494357,166.80749751258,31.2960748920512,1.24554052479716,0.324295063995715,1.55045265176542,0.315431953164269
"801",30000,0.3,0.01,0,1398.66970682018,1392.34660709007,22.0845049065711,16.2843952060738,3.50390340327559,10.4763771133625,1062.03229014454,313.42351965123,14.9385084938003,3.87132990643133,3.01058499391125,2.05682552714421
"901",3e+05,0.3,0.01,0,141.731620001333,62.7516072317127,3.82305338744434,2.1714674310676,1.50783800923678,1.22986943866402,176.234408363286,33.5789444857696,2.4079680513246,0.417533790630507,1.03978101227737,0.236817913471474
"1001",30000,0.8,0.01,0,407.38457585418,236.567768916228,7.90733680755189,4.95349213395669,2.20468118480119,1.77174358229044,464.8695772395,93.981745327727,4.94752088912168,1.24493499238391,1.69764241286969,0.386886106981447
"1101",3e+05,0.8,0.01,0,65.2505591464409,25.9292063484627,2.29776691919324,1.43377681630153,1.52123487424001,1.11298803360628,88.2936870638425,23.897103874611,1.70842610480641,0.280512630419066,1.27915107395663,0.235213091146462
"1201",30000,0.3,0.001,0,83.507109713534,44.6185375334435,2.84241310435938,1.4479597154252,1.22774835816055,1.48864250402836,132.353019352711,38.5035509685311,2.06531612489372,0.299179595978304,0.96836812983089,0.681058189895073
"1301",3e+05,0.3,0.001,0,39.2643155418974,4.67062936675704,1.27679035421994,1.07566880543557,1.32424689354437,1.05113391551368,104.77901446695,26.2025652234813,0.80540081273355,0.228386992096361,1.1481060732457,0.239914717300024
"1401",30000,0.8,0.001,0,40.8860249476012,19.7203321740023,1.88561317175751,1.17231657888057,1.25215543036006,1.08528446350349,78.223133837157,22.7504427686405,1.16727690462106,0.242948229703549,0.912944663651772,0.229894908264236
"1501",3e+05,0.8,0.001,0,24.4830325421592,3.18159760678245,1.67761804221121,1.0168958930728,1.12869444546872,0.982502326030711,82.5081862632361,21.3164312097538,2.15787646198779,0.219984742214473,0.737992372067484,0.223910899068926
"1601",30000,0.3,0.01,1,1180.32301534737,1359.15246559408,25.4026009329888,16.73706585186,3.05124188918815,9.98536384549087,1276.99295173795,257.699842179531,17.8621300719777,3.55793118724509,2.09211135222389,2.28250320238954
"1701",3e+05,0.3,0.01,1,83.3151172471328,47.6976314358516,5.20318750044033,2.61770785673063,1.47861272087923,1.17482686656089,123.349294315554,26.9951906004151,3.29970185615185,0.481831014135222,1.11453870547271,0.254249713096787
"1801",30000,0.8,0.01,1,237.40652096817,166.81651127442,9.0947759181853,5.93361338263394,1.94035931915843,1.60511282139498,186.193628087603,61.1399711322633,5.6487090022887,1.58781262533474,1.37294089501819,0.316444688642655
"1901",3e+05,0.8,0.01,1,71.8739056473022,20.2627282515019,2.8309225373826,1.71379965023873,1.3478123703741,1.12702164969423,206.596071794763,24.5912170480271,1.88805317850309,0.376898289616076,1.23898150343351,0.232614105631375
"2001",30000,0.3,0.001,1,67.7925717965029,30.7550789623092,3.24868012809889,1.66403550291654,1.40797446823085,1.49141889644646,125.186853699272,32.1983919601175,1.7091543970231,0.590203086211461,1.0553367699041,0.529279700587914
