"","n_samples","h2","prop_effect","S","flb","mse","rel_mse","flb_error","mse_error","rel_mse_error","method"
"1",30000,0.3,0.01,-1,1,-0.00148908382744811,-0.688200827961666,0,0.00164919620684076,0.0076399609098758,"EB"
"11",3e+05,0.3,0.01,-1,0.634826851907385,-6.45753253889906e-06,-0.303853108475704,0.0203843360191735,1.24766354236929e-06,0.0380011148392719,"EB"
"21",30000,0.8,0.01,-1,0.901594290726677,-0.000433805464921522,-0.657762410579176,0.0740073587426977,0.000162325110456205,0.171348150161516,"EB"
"31",3e+05,0.8,0.01,-1,0.562819340288898,-1.34844698015658e-06,-0.0821880851413099,0.00956771654297283,2.9995541775634e-07,0.0172135796174018,"EB"
"41",30000,0.3,0.001,-1,0.634990105860381,-3.45660601163998e-05,-0.134312104437061,0.0617470626567664,4.79125888612585e-05,0.254207755187693,"EB"
"51",3e+05,0.3,0.001,-1,0.488534813539143,5.4110853357413e-07,0.0362407626819818,0.0219282334529409,5.97153374181245e-07,0.0405631999171017,"EB"
"61",30000,0.8,0.001,-1,0.489594223711782,5.32009651775232e-06,0.0393108499371864,0.0397437917512604,1.67980361624461e-05,0.110808902106916,"EB"
"71",3e+05,0.8,0.001,-1,0.468679208536685,1.27673952062588e-06,0.0787489466331804,0.0288548867478225,1.00907476260995e-06,0.0616628071271913,"EB"
"81",30000,0.3,0.01,0,1,-0.000308315649989407,-0.687548752054513,0,0.000186592615334919,0.28884787715809,"EB"
"91",3e+05,0.3,0.01,0,0.627532192461636,-3.48662141099557e-06,-0.287712924606038,0.0123927077761321,4.58005436498564e-07,0.0277252626235469,"EB"
"101",30000,0.8,0.01,0,0.859323208026356,-0.000161573969013496,-0.638265268501793,0.0361486914931702,3.20779576530037e-05,0.0519211726095501,"EB"
"111",3e+05,0.8,0.01,0,0.553544133067246,-1.02991614084768e-06,-0.0966390114751268,0.0119225491060991,1.48765180009432e-07,0.0133954462964287,"EB"
"121",30000,0.3,0.001,0,0.604214494912837,-2.32213078270909e-05,-0.184386776975876,0.0321351067492004,1.09820140847681e-05,0.0624275733483372,"EB"
"131",3e+05,0.3,0.001,0,0.481079192791422,5.47827199633344e-07,0.0481846594193233,0.0186905424629809,3.70533910361541e-07,0.03078322239651,"EB"
"141",30000,0.8,0.001,0,0.488158641169066,-2.82919532266257e-08,0.00575517979747822,0.0241184768813351,8.11296284988449e-06,0.0765391104112374,"EB"
"151",3e+05,0.8,0.001,0,0.467683004825506,1.60177718014653e-06,0.124516838947749,0.0231685702108526,8.28241543215667e-07,0.0683856964074238,"EB"
"161",30000,0.3,0.01,1,0.841666666666667,-0.000392389440201411,-0.698082708874238,0.216773477945852,0.000301545868585889,0.24676607752181,"EB"
"171",3e+05,0.3,0.01,1,0.615659872024783,-2.22763135770932e-06,-0.221721129735872,0.0217683777880768,2.60692111182653e-07,0.0214427257355516,"EB"
"181",30000,0.8,0.01,1,0.810390829595159,-0.000109833587122509,-0.574834572253944,0.0404060315742666,1.79289265888067e-05,0.0797701253238116,"EB"
"191",3e+05,0.8,0.01,1,0.551682208301424,-6.40355717668342e-07,-0.0721351002277488,0.0131170937034951,1.63649433998114e-07,0.0157205315051517,"EB"
"201",30000,0.3,0.001,1,0.638184692302933,-1.94889555388672e-05,-0.184069840249612,0.0488822101642911,4.55885151456033e-06,0.0446234922098645,"EB"
"211",3e+05,0.3,0.001,1,0.482761695494208,3.82689216308612e-07,0.0408071486205138,0.0236656176819448,2.93070297099874e-07,0.0298358528728777,"EB"
"221",30000,0.8,0.001,1,0.503485634570749,1.90630916920524e-06,0.0218311073278461,0.026909200101569,4.8511519123695e-06,0.0514024342590814,"EB"
"231",3e+05,0.8,0.001,1,0.458863025918208,1.45092753017466e-06,0.139051639524602,0.0187263339642674,7.84282918851479e-07,0.0719479785957678,"EB"
"12",30000,0.3,0.01,-1,1,-0.00216850659459146,-0.984604168684548,0,0.00242800408884963,0.0205372308981413,"rep"
"112",3e+05,0.3,0.01,-1,0.557999355937083,-6.1819659506783e-06,-0.288247891752476,0.0162528417995138,2.01613904235926e-06,0.0784987552450652,"rep"
"212",30000,0.8,0.01,-1,0.815775783518295,-0.000518312461987207,-0.7882764682872,0.0851809115173745,0.000134941544559657,0.0407527709828339,"rep"
"311",3e+05,0.8,0.01,-1,0.517018069458651,-7.04415549098859e-07,-0.04253257572225,0.010449308638282,8.53549126428797e-07,0.0519977474742207,"rep"
"411",30000,0.3,0.001,-1,0.569532742852483,-5.03214489112213e-05,-0.232432987421779,0.0527504595419503,5.50850335383899e-05,0.211071166583764,"rep"
"511",3e+05,0.3,0.001,-1,0.500656253154704,6.76137461491176e-07,0.043930758558413,0.0180922171539183,1.58411858107576e-06,0.102236509911523,"rep"
"611",30000,0.8,0.001,-1,0.508813128424835,-1.9327519636086e-05,-0.0825269457290617,0.0250163017755803,4.82398382491335e-05,0.265010770934467,"rep"
"711",3e+05,0.8,0.001,-1,0.495943813321097,-1.00457446075067e-07,-0.00517862005717915,0.0162036833714839,1.22247655378536e-06,0.076146205291112,"rep"
"811",30000,0.3,0.01,0,0.958333333333333,-0.000279666109813588,-0.699521357363124,0.117851130197758,0.00012969671422866,0.226776231329178,"rep"
"911",3e+05,0.3,0.01,0,0.54814902635341,-3.81341859016624e-06,-0.312888024876666,0.0190072466671085,8.14611830228257e-07,0.0502652950444401,"rep"
"1011",30000,0.8,0.01,0,0.7898257246252,-0.000188256532194148,-0.721848762447889,0.071247629538447,5.93688136517611e-05,0.103018187868778,"rep"
