"","n_samples","h2","prop_effect","S","flb","mse","rel_mse","flb_error","mse_error","rel_mse_error","method"
"1711",3e+05,0.3,0.01,1,0.936640870243304,-0.00207464910288081,-0.97391600697921,0.00921225916331262,0.000111763816704244,0.00228548737100754,"FIQT"
"1811",30000,0.8,0.01,1,0.829687048097003,-0.016220462767571,-0.918137427871177,0.00901435824110554,0.00131217611281216,0.00514812656105526,"FIQT"
"1911",3e+05,0.8,0.01,1,0.411277371197432,-0.000198709619986532,-0.434007733061667,0.00913789625348,1.46276819896696e-05,0.0170418128728408,"FIQT"
"2011",30000,0.3,0.001,1,0.992398269923212,-0.0238674773595246,-0.996135211239423,0.00345591853047902,0.000825788854146901,0.00118605620038206,"FIQT"
"2111",3e+05,0.3,0.001,1,0.781527724386239,-0.00156772298193316,-0.885681381089666,0.0088353944733163,6.6811240005533e-05,0.00908221764816999,"FIQT"
"2211",30000,0.8,0.001,1,0.70563823087528,-0.012979040197935,-0.844385131565392,0.00786708515692426,0.000981213618663929,0.0108820691955202,"FIQT"
"2311",3e+05,0.8,0.001,1,0.507787209561902,-0.000837596216735918,-0.753926931274419,0.0135637183398422,3.39364571048214e-05,0.00829929719459276,"FIQT"
"13",30000,0.3,0.01,-1,1,-0.0218561244439053,-0.914653050454949,0,0.00184006893765701,0.00280696835777958,"BR"
"113",3e+05,0.3,0.01,-1,0.99042458943016,-0.00201626579415236,-0.908535764197642,0.00555904237869593,9.69220096083789e-05,0.00562119415605028,"BR"
"213",30000,0.8,0.01,-1,0.926750908172741,-0.0168040885768919,-0.865894148063057,0.011685664098655,0.00109121382602286,0.00749808775981979,"BR"
"312",3e+05,0.8,0.01,-1,0.50576429080594,-0.000116606686204231,-0.237636460775445,0.00797193131956103,1.87197201081163e-05,0.0253475055176229,"BR"
"412",30000,0.3,0.001,-1,0.998834273922251,-0.022068631139265,-0.913017551868448,0.00136930355030329,0.00109442698807392,0.00180728884080423,"BR"
"512",3e+05,0.3,0.001,-1,0.796018370870838,-0.00130770492382836,-0.755739910445921,0.0130634233521286,5.65203636516451e-05,0.0116531409012776,"BR"
"612",30000,0.8,0.001,-1,0.712999961760614,-0.0111288196359089,-0.703525053115619,0.0116627543124491,0.00101359119640602,0.0193854940253978,"BR"
"712",3e+05,0.8,0.001,-1,0.558268035376851,-0.000576218336644628,-0.546522999605789,0.0105800044994164,3.95746377557234e-05,0.0190497103790263,"BR"
"812",30000,0.3,0.01,0,1,-0.0222882739243906,-0.913376439108686,0,0.00127023419166583,0.00216130667800438,"BR"
"912",3e+05,0.3,0.01,0,0.979266968297106,-0.00193876603561982,-0.902446658784871,0.00712579394994699,0.000134445625550636,0.00617832717283644,"BR"
"1012",30000,0.8,0.01,0,0.901630958179609,-0.015692675738082,-0.865854974414919,0.0150030902118308,0.000955619420309348,0.0043470188957003,"BR"
"1112",3e+05,0.8,0.01,0,0.50265865185919,-0.000178699059332201,-0.39700277517196,0.00994592229224009,1.23653236437587e-05,0.0157472901732389,"BR"
"1212",30000,0.3,0.001,0,0.996867317713906,-0.0220407079282768,-0.912001372463996,0.00229026580332513,0.00128615851157219,0.00264042696955219,"BR"
"1312",3e+05,0.3,0.001,0,0.799981649562047,-0.0014176419654535,-0.804628308110356,0.00779480698386588,7.62950651696222e-05,0.00711577030530706,"BR"
"1412",30000,0.8,0.001,0,0.726625216438116,-0.0116437297650701,-0.75708577194297,0.0136377461606119,0.00072719209120133,0.010425446686668,"BR"
"1512",3e+05,0.8,0.001,0,0.575204524262497,-0.000641933555857886,-0.574096644124635,0.012766731802096,6.52979252711074e-05,0.0255851148471262,"BR"
"1612",30000,0.3,0.01,1,1,-0.0222567028389204,-0.913581041381237,0,0.00173171412707682,0.00192014653469997,"BR"
"1712",3e+05,0.3,0.01,1,0.965948867913562,-0.00191939408761307,-0.900985127102111,0.00607195998838901,0.000105990370361012,0.00490745408739462,"BR"
"1812",30000,0.8,0.01,1,0.872410526108275,-0.0150555077428631,-0.852319444339543,0.0119700133285809,0.00118554798915986,0.00435884436255961,"BR"
"1912",3e+05,0.8,0.01,1,0.509936903823842,-0.000201908094287779,-0.441092253904568,0.00904466979159938,1.34810600900304e-05,0.0143124121197172,"BR"
"2012",30000,0.3,0.001,1,0.995695002445838,-0.0218708530681864,-0.912787473646663,0.00295552684503936,0.000772827146418048,0.00325742644996678,"BR"
"2112",3e+05,0.3,0.001,1,0.798521084515849,-0.00143269108545593,-0.809407552238781,0.0106038972725018,5.99767506721817e-05,0.00722573624380466,"BR"
"2212",30000,0.8,0.001,1,0.729909107727821,-0.0119247290458252,-0.775874550405266,0.0121688673188023,0.000884590331358399,0.00968128205929247,"BR"
"2312",3e+05,0.8,0.001,1,0.592402563322559,-0.000689274174816892,-0.620477867557296,0.0145792964083726,2.61667347495529e-05,0.00686630903890652,"BR"
"14",30000,0.3,0.01,-1,1,-0.0204533061679635,-0.856218845456995,0,0.00164902837141306,0.0139731828101091,"cl1"
"114",3e+05,0.3,0.01,-1,0.986935718373664,-0.00187760278240071,-0.846057036529085,0.0048820988746984,9.18738947021595e-05,0.0093904768678697,"cl1"
"214",30000,0.8,0.01,-1,0.935883482130017,-0.0157348241937892,-0.811188800845661,0.00968717950133187,0.000915202198307155,0.0136060337923232,"cl1"
"313",3e+05,0.8,0.01,-1,0.589424990810844,-8.78120175922459e-05,-0.178891169185275,0.00468825717268911,1.73537129687985e-05,0.0276622704405231,"cl1"
