"","sim","n_samples","h2","prop_effect","S","flb","mse","rmse","rel_mse","method"
"1",1,30000,0.3,0.01,-1,1,-0.0230115149717744,-0.131774088523813,-0.980438296099359,"EB"
"2",2,30000,0.3,0.01,-1,1,-0.0205001423331417,-0.131965716154852,-0.993378747074024,"EB"
"3",3,30000,0.3,0.01,-1,1,-0.0210558774244,-0.135343057199184,-0.995163860882219,"EB"
"4",4,30000,0.3,0.01,-1,1,-0.023323712482892,-0.140215896742617,-0.992737153523188,"EB"
"5",5,30000,0.3,0.01,-1,0.997991967871486,-0.0220583979889569,-0.135560948984078,-0.991709875103544,"EB"
"6",6,30000,0.3,0.01,-1,1,-0.0270517351607734,-0.151724921638974,-0.993518231425027,"EB"
"7",7,30000,0.3,0.01,-1,1,-0.0235963295448113,-0.140319643447699,-0.991854220857485,"EB"
"8",8,30000,0.3,0.01,-1,1,-0.024943571912494,-0.142272583132225,-0.989170932928559,"EB"
"9",9,30000,0.3,0.01,-1,0.997983870967742,-0.0248330199587166,-0.148494425580511,-0.996477873673141,"EB"
"10",10,30000,0.3,0.01,-1,1,-0.0230724211002731,-0.143853966537578,-0.997046687454773,"EB"
"11",11,30000,0.3,0.01,-1,1,-0.0221569238133298,-0.136311716454366,-0.992294348396319,"EB"
"12",12,30000,0.3,0.01,-1,1,-0.0249526183433927,-0.148535544496486,-0.996222034986906,"EB"
"13",13,30000,0.3,0.01,-1,1,-0.0237526454319831,-0.138047782299446,-0.987969926296174,"EB"
"14",14,30000,0.3,0.01,-1,1,-0.022328769843543,-0.137288502423346,-0.992854870600111,"EB"
"15",15,30000,0.3,0.01,-1,1,-0.0239504538510063,-0.142091453610754,-0.992742088752873,"EB"
"16",16,30000,0.3,0.01,-1,1,-0.0245574807103737,-0.145674093229699,-0.994687843727579,"EB"
"17",17,30000,0.3,0.01,-1,0.998214285714286,-0.0219287334369553,-0.134230197555092,-0.990414476477238,"EB"
"18",18,30000,0.3,0.01,-1,1,-0.0244392062784189,-0.143915422100785,-0.993184201236002,"EB"
"19",19,30000,0.3,0.01,-1,1,-0.0245813889488575,-0.1474020654504,-0.996201713013028,"EB"
"20",20,30000,0.3,0.01,-1,1,-0.0222717373622455,-0.137161306322235,-0.992913803955896,"EB"
"21",21,30000,0.3,0.01,-1,1,-0.0241850398529818,-0.143195481401492,-0.993218943203869,"EB"
"22",22,30000,0.3,0.01,-1,1,-0.0237172597461618,-0.146031060140265,-0.997179348983129,"EB"
"23",23,30000,0.3,0.01,-1,1,-0.0246072731529902,-0.141436254173859,-0.989353675212243,"EB"
"24",24,30000,0.3,0.01,-1,1,-0.0236029905598277,-0.140287762618963,-0.991788140643443,"EB"
"25",25,30000,0.3,0.01,-1,1,-0.0255033453652697,-0.144615101818803,-0.990222245898236,"EB"
"26",26,30000,0.3,0.01,-1,1,-0.0218914586477696,-0.137269881840763,-0.994399452920952,"EB"
"27",27,30000,0.3,0.01,-1,1,-0.0236388144900935,-0.140860987178619,-0.992374141229978,"EB"
"28",28,30000,0.3,0.01,-1,1,-0.023499533197805,-0.140531663163827,-0.99248020631021,"EB"
"29",29,30000,0.3,0.01,-1,1,-0.0252636807165765,-0.147126434378842,-0.994053150124747,"EB"
"30",30,30000,0.3,0.01,-1,1,-0.0240946722353398,-0.138966150128677,-0.987857426580879,"EB"
"31",31,30000,0.3,0.01,-1,1,-0.0237941565928351,-0.142983702919732,-0.994266213270758,"EB"
"32",32,30000,0.3,0.01,-1,1,-0.0256454529297516,-0.145415464895258,-0.990751765110846,"EB"
"33",33,30000,0.3,0.01,-1,1,-0.0234052750841038,-0.140604439681404,-0.992909028211743,"EB"
"34",34,30000,0.3,0.01,-1,1,-0.0232389311019507,-0.143737931275965,-0.996550468233283,"EB"
"35",35,30000,0.3,0.01,-1,1,-0.0248436136710564,-0.144745618433721,-0.992775918895052,"EB"
"36",36,30000,0.3,0.01,-1,0.99812734082397,-0.0234057571247532,-0.138765858905068,-0.990538146027437,"EB"
"37",37,30000,0.3,0.01,-1,1,-0.0242609832160773,-0.142062087357177,-0.991574767435596,"EB"
"38",38,30000,0.3,0.01,-1,1,-0.0254735043163929,-0.145011919968368,-0.990862860618859,"EB"
