"","n_samples","h2","prop_effect","S","results","res_error","method"
"2012",30000,0.3,0.001,1,0.769438720191794,0.00944931489716577,"BR"
"2112",3e+05,0.3,0.001,1,0.621526519780779,0.0126202549270137,"BR"
"2212",30000,0.8,0.001,1,0.675786063508069,0.00964903505781766,"BR"
"2312",3e+05,0.8,0.001,1,0.620433298527796,0.00836584505303581,"BR"
"14",30000,0.3,0.01,-1,0.969532797637037,0.00668328098190537,"cl1"
"114",3e+05,0.3,0.01,-1,0.607850095756586,0.00561509952162462,"cl1"
"214",30000,0.8,0.01,-1,0.796089792049249,0.0165149689381858,"cl1"
"313",3e+05,0.8,0.01,-1,0.563229967564915,0.00631484853755899,"cl1"
"413",30000,0.3,0.001,-1,0.837701419303951,0.00982808491864445,"cl1"
"513",3e+05,0.3,0.001,-1,0.706821020202343,0.012353748427769,"cl1"
"613",30000,0.8,0.001,-1,0.758946905819312,0.0102232315192056,"cl1"
"713",3e+05,0.8,0.001,-1,0.698270077458143,0.0111207617050986,"cl1"
"813",30000,0.3,0.01,0,0.955598567564322,0.00367265517050107,"cl1"
"913",3e+05,0.3,0.01,0,0.612685204870283,0.0108468960981263,"cl1"
"1013",30000,0.8,0.01,0,0.786986608560848,0.0106594591261557,"cl1"
"1113",3e+05,0.8,0.01,0,0.567230929182645,0.00631232555853951,"cl1"
"1213",30000,0.3,0.001,0,0.839100103724235,0.0136204243982801,"cl1"
"1313",3e+05,0.3,0.001,0,0.716121224795884,0.0125521654639718,"cl1"
"1413",30000,0.8,0.001,0,0.768194774533118,0.0117549445968902,"cl1"
"1513",3e+05,0.8,0.001,0,0.693499816591276,0.00687319394414066,"cl1"
"1613",30000,0.3,0.01,1,0.944825372048266,0.00908454201219229,"cl1"
"1713",3e+05,0.3,0.01,1,0.613969067582086,0.00570817665896989,"cl1"
"1813",30000,0.8,0.01,1,0.764140253256254,0.0110902203764049,"cl1"
"1913",3e+05,0.8,0.01,1,0.571772489789114,0.00815349105463119,"cl1"
"2013",30000,0.3,0.001,1,0.849205551636706,0.0115755245748132,"cl1"
"2113",3e+05,0.3,0.001,1,0.72701554140053,0.0123399233600246,"cl1"
"2213",30000,0.8,0.001,1,0.774156512100704,0.0117014385582617,"cl1"
"2313",3e+05,0.8,0.001,1,0.707079747162575,0.0134361032998871,"cl1"
"15",30000,0.3,0.01,-1,0.990782254704909,0.00463185381820018,"cl2"
"115",3e+05,0.3,0.01,-1,0.610376041945265,0.0100861424917162,"cl2"
"215",30000,0.8,0.01,-1,0.854818099465973,0.0109327764575124,"cl2"
"314",3e+05,0.8,0.01,-1,0.554050452289672,0.00568038442181847,"cl2"
"414",30000,0.3,0.001,-1,0.840446324473075,0.00787793269490298,"cl2"
"514",3e+05,0.3,0.001,-1,0.695313562554587,0.0103840299715903,"cl2"
"614",30000,0.8,0.001,-1,0.75461765067993,0.0137743908423464,"cl2"
"714",3e+05,0.8,0.001,-1,0.67848569891781,0.00991085101473095,"cl2"
"814",30000,0.3,0.01,0,0.983587310677563,0.00349843340945716,"cl2"
