"","n_samples","h2","prop_effect","S","flb","mse","rmse","rel_mse","flb_error","mse_error","rmse_error","rel_mse_error","method"
"1018",3e+05,0.3,0.01,0,0.598540394707878,5.72504856528551e-06,5.72504856528551e-06,0.177161314502086,0.0128288009570983,3.08774413903225e-06,3.08774413903225e-06,0.0972549922430035,"cl2"
"2018",30000,0.8,0.01,0,0.891445877097247,-0.000757583010697217,-0.000757583010697217,-0.566657480758364,0.0226759549171583,4.92390674568636e-05,4.92390674568636e-05,0.028329409032777,"cl2"
"3018",3e+05,0.8,0.01,0,0.531593712804066,1.59701792181226e-05,1.59701792181226e-05,0.771848632910944,0.00826066739569477,1.09197245656833e-06,1.09197245656833e-06,0.0658207439110464,"cl2"
"4018",30000,0.3,0.001,0,0.696888357628404,-0.000307274861413402,-0.000307274861413402,-0.352816174899819,0.0320893421148558,6.8060511037834e-05,6.8060511037834e-05,0.0667433847305684,"cl2"
"5018",3e+05,0.3,0.001,0,0.513619826159758,1.11197339455436e-05,1.11197339455436e-05,0.49706104174311,0.0143482404158071,2.50192542458625e-06,2.50192542458625e-06,0.115044660333257,"cl2"
"6018",30000,0.8,0.001,0,0.564685329481316,4.3361876087532e-05,4.3361876087532e-05,0.117806399076477,0.0204919959569342,2.84924452235068e-05,2.84924452235068e-05,0.07731159873304,"cl2"
"7018",3e+05,0.8,0.001,0,0.499920501323881,9.69738428036686e-06,9.69738428036686e-06,0.49795355762658,0.0114095986439685,1.13591251376834e-06,1.13591251376834e-06,0.0657173522952148,"cl2"
"19",30000,0.3,0.01,0,0.995935620844075,-0.00140166007842396,-0.00140166007842396,-0.58181056444294,0.0052628572989509,6.80005033270945e-05,6.80005033270945e-05,0.0386924215736685,"cl3"
"1019",3e+05,0.3,0.01,0,0.598670751178704,1.6188713176101e-05,1.6188713176101e-05,0.498724363611685,0.0129703414048441,2.21434942858376e-06,2.21434942858376e-06,0.0792362834831369,"cl3"
"2019",30000,0.8,0.01,0,0.866405791943124,-0.000699617523996209,-0.000699617523996209,-0.523154957246378,0.0251603616943867,5.83362244098609e-05,5.83362244098609e-05,0.0360588535673993,"cl3"
"3019",3e+05,0.8,0.01,0,0.541069329574296,2.36972560622318e-05,2.36972560622318e-05,1.14500282517981,0.00843132361502334,1.31261461602867e-06,1.31261461602867e-06,0.081875169736195,"cl3"
"4019",30000,0.3,0.001,0,0.696558880460568,-0.000236827961291027,-0.000236827961291027,-0.271049237835399,0.0310802044754315,6.74706583986227e-05,6.74706583986227e-05,0.0691454372188297,"cl3"
"5019",3e+05,0.3,0.001,0,0.528467889210753,1.54854133672846e-05,1.54854133672846e-05,0.692265739498158,0.0155918304820927,2.02975677499401e-06,2.02975677499401e-06,0.100189548642351,"cl3"
"6019",30000,0.8,0.001,0,0.573981906751338,0.00011384926369274,0.00011384926369274,0.306753693369778,0.021353610417637,3.85358041547403e-05,3.85358041547403e-05,0.105726702679999,"cl3"
"7019",3e+05,0.8,0.001,0,0.519077318310671,1.28294034420142e-05,1.28294034420142e-05,0.658480967971372,0.0131603006514639,1.09479311265891e-06,1.09479311265891e-06,0.0657261118899938,"cl3"
