"","n_samples","h2","prop_effect","S","results","res_error","method"
"2012",30000,0.3,0.001,1,0.478109184439364,0.203814811878742,"BR"
"2112",3e+05,0.3,0.001,1,0.959786593122776,0.157388012609288,"BR"
"2212",30000,0.8,0.001,1,1.43211586686036,0.40796819040612,"BR"
"2312",3e+05,0.8,0.001,1,0.487816317505864,0.129069285508547,"BR"
"14",30000,0.3,0.01,-1,-0.0374523442480461,0.374307063648149,"cl1"
"114",3e+05,0.3,0.01,-1,2.68358488259278,0.536826860816936,"cl1"
"214",30000,0.8,0.01,-1,0.435935496775214,0.576896723425363,"cl1"
"313",3e+05,0.8,0.01,-1,1.97499361959661,0.217666198142074,"cl1"
"413",30000,0.3,0.001,-1,3.6710098112677,1.69827273034371,"cl1"
"513",3e+05,0.3,0.001,-1,0.969441720362425,0.251688884855165,"cl1"
"613",30000,0.8,0.001,-1,1.95433133109981,0.665698001613908,"cl1"
"713",3e+05,0.8,0.001,-1,0.61648702624071,0.200308463670553,"cl1"
"813",30000,0.3,0.01,0,-0.120966924587715,0.514596728638214,"cl1"
"913",3e+05,0.3,0.01,0,2.15252620383828,0.289552605945705,"cl1"
"1013",30000,0.8,0.01,0,1.12350970848347,0.635873983071807,"cl1"
"1113",3e+05,0.8,0.01,0,2.01164038280217,0.117074443099503,"cl1"
"1213",30000,0.3,0.001,0,2.53684812493086,1.12712381605866,"cl1"
"1313",3e+05,0.3,0.001,0,1.30768632798997,0.660797304555083,"cl1"
"1413",30000,0.8,0.001,0,2.1777105161261,0.597492141052296,"cl1"
"1513",3e+05,0.8,0.001,0,0.763749965579811,0.176767674885295,"cl1"
"1613",30000,0.3,0.01,1,0.2658947259987,1.06766524840378,"cl1"
"1713",3e+05,0.3,0.01,1,2.31087066210016,0.174031548234867,"cl1"
"1813",30000,0.8,0.01,1,1.23400236054177,0.53203959024342,"cl1"
"1913",3e+05,0.8,0.01,1,1.83098088892158,0.154775858206456,"cl1"
"2013",30000,0.3,0.001,1,2.40552332918871,0.776746475380872,"cl1"
"2113",3e+05,0.3,0.001,1,1.27176363837828,0.344070983972417,"cl1"
"2213",30000,0.8,0.001,1,1.78841976049141,0.597159298114116,"cl1"
"2313",3e+05,0.8,0.001,1,0.803698142794684,0.168295931781657,"cl1"
"15",30000,0.3,0.01,-1,-0.66384518516792,0.397672107132712,"cl2"
"115",3e+05,0.3,0.01,-1,1.023579588069,0.208147758478024,"cl2"
"215",30000,0.8,0.01,-1,-0.490153580952809,0.157222971559612,"cl2"
"314",3e+05,0.8,0.01,-1,1.12781486676034,0.139477071230654,"cl2"
"414",30000,0.3,0.001,-1,0.956178407478168,0.812994700647526,"cl2"
"514",3e+05,0.3,0.001,-1,0.657485615627908,0.147400708322131,"cl2"
"614",30000,0.8,0.001,-1,1.21916100799013,0.417845522061825,"cl2"
"714",3e+05,0.8,0.001,-1,1.46764377799658,0.870922109595845,"cl2"
"814",30000,0.3,0.01,0,-0.432284910947329,0.404012881147403,"cl2"
"914",3e+05,0.3,0.01,0,1.05702261554518,0.158819889652114,"cl2"
"1014",30000,0.8,0.01,0,-0.288704587691314,0.149680081075834,"cl2"
"1114",3e+05,0.8,0.01,0,1.07002240312247,0.0742058832926935,"cl2"
"1214",30000,0.3,0.001,0,0.983253133867079,0.485709322785466,"cl2"
"1314",3e+05,0.3,0.001,0,0.722621424520733,0.198697350698079,"cl2"
"1414",30000,0.8,0.001,0,1.21025635782592,0.2408307205733,"cl2"
