"","n_samples","h2","prop_effect","S","n_sig","prop_bias","prop_x","mse","n_sig_sd","prop_bias_sd","prop_x_sd","mse_sd"
"1",30000,0.3,0.01,-1,610.99,0.999638601220434,0.916517712555922,0.0019192510927314,23.0697208522778,0.000762394215536157,0.0108128602571669,0.000104963410500957
"101",3e+05,0.3,0.01,-1,3201.35,0.746095750144739,0.208252582415904,4.89593630723885e-05,47.9670288696919,0.00697756751849064,0.00711976304647163,2.57490949746957e-06
"201",30000,0.8,0.01,-1,1089.98,0.959733010834739,0.564746527262703,0.0011941053192341,35.1579351504096,0.00530513354850854,0.0135566440134355,5.96864710359849e-05
"301",3e+05,0.8,0.01,-1,5349.44,0.639289202715361,0.130499528649547,3.50681849847268e-05,43.7288061219202,0.00686395430073376,0.00448961756125549,1.60620613324097e-06
"401",30000,0.3,0.001,-1,772.12,0.895703112323941,0.672392301400856,0.00147443265381091,25.9129389309743,0.00899969936135135,0.0140396205320824,8.77898902476264e-05
"501",3e+05,0.3,0.001,-1,1211.96,0.730328009426862,0.429953958834688,9.91501137778125e-05,24.7871423169841,0.0128494771658372,0.012713258263328,6.20998529650617e-06
"601",30000,0.8,0.001,-1,986.59,0.8043277382075,0.527629810278341,0.00119805171321658,26.6818498442501,0.0117443618331339,0.0137891698419762,7.54980857119926e-05
"701",3e+05,0.8,0.001,-1,1326.17,0.706774323072534,0.397051737293223,9.31938351188468e-05,24.0723048041906,0.0126657611552795,0.0105476374034254,5.21501809829855e-06
"801",30000,0.3,0.01,0,627.16,0.998468907258233,0.888767037431636,0.001825130572213,25.1796454592702,0.0015201953838509,0.0127700822907845,9.01929751229604e-05
"901",3e+05,0.3,0.01,0,3054.78,0.742678189948338,0.217638443950415,4.62007175105164e-05,45.4216119075802,0.00701862625056627,0.00663013458917329,2.13326252003889e-06
"1001",30000,0.8,0.01,0,1110.51,0.940719623794801,0.543548933925595,0.00109075726418573,29.2054702915309,0.0067528256711239,0.012263697574998,5.96114661227747e-05
"1101",3e+05,0.8,0.01,0,5032.06,0.645542717911013,0.137466889361065,3.23485064856957e-05,45.2175035385925,0.00624965734745514,0.00464466712538256,1.55910263749584e-06
"1201",30000,0.3,0.001,0,755.09,0.895315201934964,0.682011733799818,0.00149076824336592,22.7991205749235,0.0096637152737505,0.0131275000657783,7.66543929095262e-05
"1301",3e+05,0.3,0.001,0,1183.18,0.740245162630386,0.440748863051073,0.000100183760959913,27.8434947881943,0.0121192164698711,0.00909102700582188,5.6460762147154e-06
"1401",30000,0.8,0.001,0,953.63,0.812964788903975,0.544898489546072,0.00120176276501679,23.262079516551,0.00996380423383572,0.0115240170068295,7.02141984334077e-05
"1501",3e+05,0.8,0.001,0,1301.33,0.711423703117225,0.404027640375613,9.24294675428922e-05,29.4694003256862,0.0109878149563178,0.0122747304251678,5.48474743660998e-06
"1601",30000,0.3,0.01,1,641.18,0.996590634005657,0.864306801064002,0.00177722096395136,25.4968328395604,0.00222189478698448,0.0126325339051604,0.000106831320036583
"1701",3e+05,0.3,0.01,1,2902.71,0.731334818674076,0.222765389430369,4.59769572754329e-05,38.2903039128364,0.00858150355321833,0.00732682208678702,2.50379161996038e-06
"1801",30000,0.8,0.01,1,1141.84,0.920790201867287,0.519630911517563,0.00104727951625771,29.1352540799463,0.00767968929551601,0.0144265957054669,6.27864921467278e-05
"1901",3e+05,0.8,0.01,1,4634.5,0.646356611793683,0.146083642884478,3.2079790207324e-05,48.8281877524849,0.00775670525387407,0.00461549188889474,1.76977142182607e-06
"2001",30000,0.3,0.001,1,742.12,0.894417187928244,0.694914896222307,0.00150858115063582,23.898894780244,0.01017105819892,0.0139599770012195,7.99230201761863e-05
"2101",3e+05,0.3,0.001,1,1124.74,0.751020746091151,0.463547928960938,0.000102976667444307,24.8082016415311,0.0115759623667746,0.0116906641550269,5.80165208102388e-06
"2201",30000,0.8,0.001,1,917.81,0.819919072381156,0.567292886497329,0.00124857058681074,25.1250187195267,0.0109696720868661,0.0136927263865907,8.42210398459213e-05
"2301",3e+05,0.8,0.001,1,1235.79,0.720106530573629,0.419212113574192,9.40248691013984e-05,25.9841812795338,0.0121426555396003,0.011227909023254,4.78677377974288e-06
