"","sim","n_samples","h2","prop_effect","S","flb","mse","rmse","rel_mse","method"
"62",62,30000,0.3,0.01,-1,1,-0.00898337396945195,-0.083732616099559,-0.984795598373145,"EB"
"63",63,30000,0.3,0.01,-1,1,-0.000324237879283141,-0.0109910992697665,-0.791049621288228,"EB"
"64",64,30000,0.3,0.01,-1,1,-4.33038437053366e-05,-0.00114005013296016,-0.113160623015802,"EB"
"65",65,30000,0.3,0.01,-1,100,100,100,100,"EB"
"66",66,30000,0.3,0.01,-1,100,100,100,100,"EB"
"67",67,30000,0.3,0.01,-1,100,100,100,100,"EB"
"68",68,30000,0.3,0.01,-1,100,100,100,100,"EB"
"69",69,30000,0.3,0.01,-1,1,-0.00187114614312863,-0.0371690868451623,-0.977342743466055,"EB"
"70",70,30000,0.3,0.01,-1,1,-0.00355643154744799,-0.0424654047476437,-0.893011779414799,"EB"
"71",71,30000,0.3,0.01,-1,100,100,100,100,"EB"
"72",72,30000,0.3,0.01,-1,1,-0.000709373833701498,-0.0241543188352964,-0.990509696732178,"EB"
"73",73,30000,0.3,0.01,-1,1,-0.00407280707459227,-0.0484793387482539,-0.928077288131026,"EB"
"74",74,30000,0.3,0.01,-1,100,100,100,100,"EB"
"75",75,30000,0.3,0.01,-1,100,100,100,100,"EB"
"76",76,30000,0.3,0.01,-1,1,-0.00106131220682483,-0.0164079915749132,-0.645597423190959,"EB"
"77",77,30000,0.3,0.01,-1,1,-0.00102939391448639,-0.0279553950855702,-0.981261737332024,"EB"
"78",78,30000,0.3,0.01,-1,1,-0.00126835214062728,-0.0331096401368005,-0.994702563565025,"EB"
"79",79,30000,0.3,0.01,-1,100,100,100,100,"EB"
"80",80,30000,0.3,0.01,-1,1,-0.000954810590267959,-0.0112675334830681,-0.414349436010734,"EB"
"81",81,30000,0.3,0.01,-1,1,-0.00130122425446647,-0.0218100495967761,-0.784148366308792,"EB"
"82",82,30000,0.3,0.01,-1,1,-0.00148495136814885,-0.03050107472018,-0.947266628090098,"EB"
"83",83,30000,0.3,0.01,-1,100,100,100,100,"EB"
"84",84,30000,0.3,0.01,-1,1,-0.00328764988658093,-0.0530333982781181,-0.993934050351669,"EB"
"85",85,30000,0.3,0.01,-1,1,-0.00118617183213412,-0.0322874622387035,-0.995843016416154,"EB"
"86",86,30000,0.3,0.01,-1,100,100,100,100,"EB"
"87",87,30000,0.3,0.01,-1,100,100,100,100,"EB"
"88",88,30000,0.3,0.01,-1,1,-0.000739543409841631,-0.0245264206700051,-0.989411579319805,"EB"
"89",89,30000,0.3,0.01,-1,1,-0.000681702805023654,-0.0258660089083378,-0.999912260937193,"EB"
"90",90,30000,0.3,0.01,-1,1,-0.00143473560132088,-0.0282866756572598,-0.919370419308178,"EB"
"91",91,30000,0.3,0.01,-1,1,-0.000559273080456469,-0.0160717041895387,-0.864479991304979,"EB"
"92",92,30000,0.3,0.01,-1,100,100,100,100,"EB"
"93",93,30000,0.3,0.01,-1,1,-0.00118025407033118,-0.029091644976146,-0.972849054143089,"EB"
"94",94,30000,0.3,0.01,-1,100,100,100,100,"EB"
"95",95,30000,0.3,0.01,-1,100,100,100,100,"EB"
"96",96,30000,0.3,0.01,-1,1,-0.00127115289298022,-0.029137707842677,-0.960354825894794,"EB"
"97",97,30000,0.3,0.01,-1,100,100,100,100,"EB"
"98",98,30000,0.3,0.01,-1,100,100,100,100,"EB"
