"","n_samples","h2","prop_effect","S","n_sig","prop_bias","prop_x","mse","n_sig_sd","prop_bias_sd","prop_x_sd","mse_sd"
"1",30000,0.3,0.01,0,1627,0.995606547115982,0.781954577059032,0.000944639328387104,320.29673741704,0.00731951048882613,0.0703906701568755,8.36269641691017e-05
"11",3e+05,0.3,0.01,0,80112.9,0.717437388838875,0.170464936091111,2.0683258319078e-05,1901.31033471364,0.00916301131910694,0.00504876173204522,4.95923303872851e-07
"21",30000,0.8,0.01,0,11216.6,0.902608279170088,0.411458892112932,0.000408083683504521,534.307485338629,0.0142561537879299,0.0373042572004184,2.94958895247369e-05
"31",3e+05,0.8,0.01,0,193881.5,0.628042449996787,0.111530486464351,1.72581803805417e-05,2601.95013403409,0.00724538391844499,0.005180927454059,5.09633900131768e-07
"41",30000,0.3,0.001,0,7372.6,0.781732093575756,0.230497102069298,0.000281182577758338,353.933829346045,0.038091329630065,0.0471909425231673,4.47058465955297e-05
"51",3e+05,0.3,0.001,0,47484.8,0.567955875383701,0.0867998473152959,1.68558825016263e-05,1098.43978239845,0.0192885029934245,0.00930584604382723,9.67628390392159e-07
"61",30000,0.8,0.001,0,22170,0.641505415418438,0.124325348134509,0.00018887800755459,650.220304546424,0.0197256560996215,0.0124102490850354,1.05362533868752e-05
"71",3e+05,0.8,0.001,0,64152.4,0.544273766438613,0.0704332151743413,1.58975610058877e-05,1010.07009657746,0.0134829738391328,0.00807758716616128,9.37099566569003e-07
