"","n_samples","h2","prop_effect","S","n_sig","prop_bias","prop_x","mse","n_sig_sd","prop_bias_sd","prop_x_sd","mse_sd"
"1",30000,0.3,0.01,-1,0.1,1,1,0.0432047221818084,0.316227766016838,NA,NA,NA
"11",3e+05,0.3,0.01,-1,0.4,1,1,0.00133695557793191,0.516397779494322,0,0,0.000346641384879765
"21",30000,0.8,0.01,-1,2.3,1,0.666666666666667,0.018844229926907,1.33749350984926,0,0.297559517855952,0.00923684073949332
"31",3e+05,0.8,0.01,-1,1353.9,0.709763819024341,0.0731841195542386,0.000215205355052556,16.7494610195207,0.0106071838706092,0.00579838592903505,1.14904797328813e-05
"41",30000,0.3,0.001,-1,0.2,1,1,0.0239587554078253,0.421637021355784,0,0,0.0115191921257129
"51",3e+05,0.3,0.001,-1,51.5,0.796474732689637,0.120506722277857,0.000297611374743803,5.33853912601566,0.0565457699994863,0.0552024315921178,0.000109977220739396
"61",30000,0.8,0.001,-1,130.2,0.718911132063792,0.0761215171074274,0.00235880650414068,7.65651501808899,0.0337175158314007,0.0238218520211142,0.000642633368636185
"71",3e+05,0.8,0.001,-1,626.3,0.534731535075024,0.0335978695687385,0.000186119587263898,17.9817809030264,0.0182174808582985,0.00519009891559484,1.53095875882388e-05
"81",30000,0.3,0.01,0,0.1,1,1,0.0319928311204821,0.316227766016838,NA,NA,NA
"91",3e+05,0.3,0.01,0,0.3,1,1,0.00199389694897381,0.483045891539648,0,0,0.00206098420398199
"101",30000,0.8,0.01,0,5.3,0.983333333333333,0.477222222222222,0.00395363840445243,2.11081869319834,0.052704627669473,0.243015605182342,0.00158665218220866
"111",3e+05,0.8,0.01,0,1338,0.682936898514527,0.0664345983441581,0.000119595315627097,22.3755819291179,0.0124153625983953,0.00465552355715852,6.31328205269287e-06
"121",30000,0.3,0.001,0,0,NA,NA,NA,0,NA,NA,NA
"131",3e+05,0.3,0.001,0,56.4,0.782519447707351,0.107474341098249,0.000140715554857642,5.66078125742767,0.0628188042218324,0.0393325209830071,2.98904468607e-05
"141",30000,0.8,0.001,0,130.3,0.686583608211129,0.062184985899942,0.00118598653077464,8.11103500725332,0.0496510112470719,0.0275161973712076,0.000159885312731135
"151",3e+05,0.8,0.001,0,585.6,0.554145301246672,0.0329689325866975,0.000132800774779954,15.7846620348855,0.0179271809207996,0.00821038320836623,1.28152583117226e-05
"161",30000,0.3,0.01,1,0.1,1,1,0.0290787496041436,0.316227766016838,NA,NA,NA
"171",3e+05,0.3,0.01,1,0.6,1,0.875,0.00120245302005677,0.843274042711568,0,0.25,0.00060142836460061
"181",30000,0.8,0.01,1,8,0.954603174603175,0.371273448773449,0.00311030621341416,2.58198889747161,0.0761176901008149,0.268553158900545,0.00124105120843603
"191",3e+05,0.8,0.01,1,1343.7,0.668322184132442,0.0573546952177243,0.00010075753696275,26.0301107693891,0.0139137725344212,0.00620122208069886,3.20643486489594e-06
"201",30000,0.3,0.001,1,0.1,1,1,0.0281579840803604,0.316227766016838,NA,NA,NA
"211",3e+05,0.3,0.001,1,64.5,0.758663788653004,0.0862077968004402,0.00011537083174244,6.65415492589238,0.0398829831801836,0.0416285871696938,3.19013919396221e-05
"221",30000,0.8,0.001,1,134.2,0.675207847902708,0.0729582370467839,0.00105321180967804,5.90291829898097,0.0243847411971994,0.0276992490587531,0.000162001384495804
"231",3e+05,0.8,0.001,1,532.7,0.547421013906372,0.0315638411226968,0.000106340028956214,12.7632284317096,0.01033908812741,0.00642667290070322,9.73080538855614e-06
