"","n_samples","h2","prop_effect","S","flb","mse","rmse","rel_mse","flb_error","mse_error","rmse_error","rel_mse_error","method"
"1",30000,0.3,0.01,-1,1,-0.0304595395867536,-0.115707185088789,-0.855783341141153,0,0.0119388550528951,0.0195444738587178,0.0567419557539539,"EB"
"51",3e+05,0.3,0.01,-1,0.858166820334907,-0.000390389953319037,-0.0104554414649977,-0.681261074818226,0.0611843986482061,0.00011860431952507,0.00230225390743408,0.0852758109212495,"EB"
"101",30000,0.8,0.01,-1,0.860170344165644,-0.00376206524797139,-0.0314816357205873,-0.660124165199466,0.0442209430061157,0.00112684003924928,0.0063717972812155,0.0776455867340778,"EB"
"151",3e+05,0.8,0.01,-1,0.553820734109989,-1.34480702849831e-05,-0.00050479863548465,-0.0729212859043479,0.0087719299421289,2.92342371423341e-06,0.000107822142089911,0.0149248114270299,"EB"
"201",30000,0.3,0.001,-1,0.778689033189033,-0.00318508213120838,-0.0256623147538984,-0.45132661063439,0.23008464703244,0.00304617774805345,0.020816666052539,0.553240578011863,"EB"
"251",3e+05,0.3,0.001,-1,0.438894214520288,-3.01173129913162e-06,-0.000111484476498947,-0.0140599894699063,0.0543048466776001,1.3004740131677e-05,0.000477081410229277,0.0700039682691937,"EB"
"301",30000,0.8,0.001,-1,0.45717399677241,-0.000138899389650654,-0.00159565320733611,-0.0681032106678388,0.0584832608978107,0.000155834698839331,0.00176610421741518,0.0747251614146466,"EB"
"351",3e+05,0.8,0.001,-1,0.334029231814464,6.6928594018172e-06,0.000248125379588356,0.0380907728740815,0.0196723686751387,5.74001887397479e-06,0.000213060672919434,0.0337510863427341,"EB"
"401",30000,0.3,0.01,0,1,-0.0264850398943141,-0.119698038183964,-0.922942658518489,0,0.0147160033465345,0.0276029099369569,0.0514899104617767,"EB"
"451",3e+05,0.3,0.01,0,0.791303599324089,-0.000136854938840904,-0.00554291470711364,-0.595764635767914,0.0552301121171286,3.25072509438564e-05,0.00105557642012219,0.0857573027516536,"EB"
"501",30000,0.8,0.01,0,0.826626123256616,-0.00154778277881487,-0.0195752052123497,-0.634691117428894,0.0427482207306344,0.000261376002668657,0.00268102596933808,0.0671787259178566,"EB"
"551",3e+05,0.8,0.01,0,0.550782108493196,-1.04006315279084e-05,-0.000489800832943365,-0.0881081582716327,0.0128344216722862,1.46617405374727e-06,6.60949959546829e-05,0.0110093213725293,"EB"
"601",30000,0.3,0.001,0,0.819923132423132,-0.00120089583825075,-0.0151686724946944,-0.492771027384945,0.184469138247923,0.000903298348907453,0.00947731265295434,0.379759433322421,"EB"
"651",3e+05,0.3,0.001,0,0.450329544451684,-5.82601322039067e-06,-0.000266446987886187,-0.0462716832864255,0.058332904104063,6.64025734664733e-06,0.000301109952932911,0.0525380083530206,"EB"
"701",30000,0.8,0.001,0,0.435085838254971,-5.0249017353214e-05,-0.000713348086835927,-0.0385379949105231,0.0569480852690526,6.29174482826337e-05,0.00090001939121911,0.0511970921811906,"EB"
"751",3e+05,0.8,0.001,0,0.327841558697002,8.64871772711354e-06,0.00035237804018829,0.0606840956580446,0.0265976193124224,8.11722865126947e-06,0.000324610820836947,0.0561786281387078,"EB"
"801",30000,0.3,0.01,1,1,-0.0123007867817964,-0.0804877167485446,-0.905114751825028,0,0.0083185608183351,0.031436243913548,0.0780393298823789,"EB"
"851",3e+05,0.3,0.01,1,0.762678306913007,-0.000101002128259875,-0.0045254099249968,-0.559962157648494,0.0316420660497032,1.28269148957095e-05,0.000475508679168778,0.0412497016177052,"EB"
"901",30000,0.8,0.01,1,0.772833986561373,-0.00107966612659999,-0.0149991182761633,-0.568994466647083,0.0461438488642939,0.000157942235222666,0.0019884111552018,0.0561051441991438,"EB"
"951",3e+05,0.8,0.01,1,0.541547001886252,-6.34281802677033e-06,-0.000324048034713553,-0.0640530588534905,0.0130168661973236,1.04818204230738e-06,5.10595766390115e-05,0.00940925532899615,"EB"
"1001",30000,0.3,0.001,1,0.747466871793497,-0.000862736714312458,-0.0116594509141054,-0.462110137093442,0.139613785363438,0.000485006541324849,0.00543385474778274,0.176112693871895,"EB"
"1051",3e+05,0.3,0.001,1,0.425625935735069,-1.82789938285032e-06,-9.29368455187833e-05,-0.017285271822728,0.0422686591442788,5.6388959345429e-06,0.000279273722578044,0.055559747093332,"EB"
"1101",30000,0.8,0.001,1,0.430858968260105,-3.81734321785233e-05,-0.000598129077237617,-0.0358819921731087,0.0550083140636323,4.82358494030526e-05,0.000756189144036902,0.0468750141656701,"EB"
"1151",3e+05,0.8,0.001,1,0.315969101350351,8.62425735560747e-06,0.000396061435206478,0.076410908457387,0.0273232460447582,4.79150998705587e-06,0.000218218608302554,0.0431040044158998,"EB"
"11",30000,0.3,0.01,-1,1,-0.0290403271743201,-0.106109701300221,-0.815441265582725,0,0.0111158443720512,0.016300434016438,0.0433689374029909,"FIQT"
"511",3e+05,0.3,0.01,-1,0.709391496601118,-0.000381957820086694,-0.010154243737584,-0.638369803949532,0.0632257864763563,0.000175867246253787,0.00418275064861941,0.200219464328769,"FIQT"
"1011",30000,0.8,0.01,-1,0.712426285900298,-0.00357470385397383,-0.0292886636716268,-0.598605427773388,0.0557104798645694,0.00166989687004041,0.0118789095366391,0.205680655783106,"FIQT"
