"","n_samples","h2","prop_effect","S","n_sig","n_sig_sd","prop_bias","prop_bias_sd"
"1",30000,0.3,0.01,-1,0.7,0.74535599249993,0.56,0.498887651569859
"101",3e+05,0.3,0.01,-1,848.63,18.1445681551078,0.760551328757307,0.0142141254237229
"201",30000,0.8,0.01,-1,31.85,5.20756054872979,0.979558795856005,0.0232328575984061
"301",3e+05,0.8,0.01,-1,2760.68,30.0914028462039,0.628304443478765,0.0084854275126263
"401",30000,0.3,0.001,-1,86.9,6.31736423748789,0.752435487131034,0.0466127780347672
"501",3e+05,0.3,0.001,-1,568.7,14.0744772226505,0.552022076177486,0.0196883795793201
"601",30000,0.8,0.001,-1,276.26,10.4132976370009,0.620931195140055,0.0286366477225203
"701",3e+05,0.8,0.001,-1,727.1,12.491209029966,0.528914268235996,0.0175342863177835
"801",30000,0.3,0.01,0,1.45,1.29782257429259,0.74,0.440844002276808
"901",3e+05,0.3,0.01,0,882.45,18.4354593546286,0.725585272553597,0.014448705753231
"1001",30000,0.8,0.01,0,48.06,6.34977133128398,0.952375017019701,0.0305250624824406
"1101",3e+05,0.8,0.01,0,2586.78,32.7711933122844,0.620066325593914,0.00801764259182064
"1201",30000,0.3,0.001,0,88.32,6.37685207796468,0.727780208488838,0.0434675095523239
"1301",3e+05,0.3,0.001,0,531.27,12.4307008343184,0.55525930810483,0.0238731447534925
"1401",30000,0.8,0.001,0,257.44,8.93559446734511,0.621247749918713,0.0265203668565987
"1501",3e+05,0.8,0.001,0,691.46,13.5261960579455,0.532200189835789,0.0194459614764436
"1601",30000,0.3,0.01,1,2.55,1.62291046698158,0.94,0.238683256575942
"1701",3e+05,0.3,0.01,1,919.28,15.7992967494689,0.703845441354433,0.0136635873836754
"1801",30000,0.8,0.01,1,68.13,7.79491546270433,0.921467226641807,0.0277433268626043
"1901",3e+05,0.8,0.01,1,2433.27,30.7051323318293,0.609653481012094,0.010431831538266
"2001",30000,0.3,0.001,1,93.15,5.96009456910939,0.714469211072744,0.0421854206281282
"2101",3e+05,0.3,0.001,1,482.94,12.7420563489572,0.551926389961045,0.0193770280952482
"2201",30000,0.8,0.001,1,244.29,9.23683338103979,0.611906426708245,0.0314634507095256
"2301",3e+05,0.8,0.001,1,632.74,14.7303164332007,0.532990050081924,0.0192559101888477
