"","n_samples","h2","prop_effect","S","results","res_error","method"
"2212",30000,0.8,0.001,1,-0.000889487049704448,3.69737807004768e-05,"BR"
"2312",3e+05,0.8,0.001,1,-5.71132154476957e-05,3.58678641592353e-06,"BR"
"14",30000,0.3,0.01,-1,-0.00162712088371565,0.000127674514591705,"cl1"
"114",3e+05,0.3,0.01,-1,-1.21448781089459e-05,2.55634503139733e-06,"cl1"
"214",30000,0.8,0.01,-1,-0.000799225964802129,4.86198381554328e-05,"cl1"
"313",3e+05,0.8,0.01,-1,-3.84022506966368e-06,2.01731744797509e-06,"cl1"
"413",30000,0.3,0.001,-1,-0.00116154688447485,7.13870084118154e-05,"cl1"
"513",3e+05,0.3,0.001,-1,-7.08192954272833e-05,5.3782492395738e-06,"cl1"
"613",30000,0.8,0.001,-1,-0.000875991888957223,6.41621026530644e-05,"cl1"
"713",3e+05,0.8,0.001,-1,-6.84918635153701e-05,2.48667612941088e-06,"cl1"
"813",30000,0.3,0.01,0,-0.00149219208200639,5.61693860653208e-05,"cl1"
"913",3e+05,0.3,0.01,0,-2.18570424553313e-05,1.79225153908822e-06,"cl1"
"1013",30000,0.8,0.01,0,-0.000802036530491683,6.11039964440194e-05,"cl1"
"1113",3e+05,0.8,0.01,0,-9.13131153505201e-06,1.7694828613672e-06,"cl1"
"1213",30000,0.3,0.001,0,-0.00117082105412761,0.000100817538975937,"cl1"
"1313",3e+05,0.3,0.001,0,-7.1781442672876e-05,5.64371201084982e-06,"cl1"
"1413",30000,0.8,0.001,0,-0.000930560999624276,4.42434159358123e-05,"cl1"
"1513",3e+05,0.8,0.001,0,-6.65465035322421e-05,4.35592297647324e-06,"cl1"
"1613",30000,0.3,0.01,1,-0.00151691920364083,5.61691069653396e-05,"cl1"
"1713",3e+05,0.3,0.01,1,-2.43697555958073e-05,3.07146016690216e-06,"cl1"
"1813",30000,0.8,0.01,1,-0.000802203887552391,4.45431145297562e-05,"cl1"
"1913",3e+05,0.8,0.01,1,-1.29671012381942e-05,1.7876606889919e-06,"cl1"
"2013",30000,0.3,0.001,1,-0.00119165424703142,6.47079629091357e-05,"cl1"
"2113",3e+05,0.3,0.001,1,-8.05797416725055e-05,7.09755429598972e-06,"cl1"
"2213",30000,0.8,0.001,1,-0.00100214279969222,6.85904530286285e-05,"cl1"
"2313",3e+05,0.8,0.001,1,-7.33415310018414e-05,5.43153173815647e-06,"cl1"
"15",30000,0.3,0.01,-1,-0.00135867934858579,8.75282561472633e-05,"cl2"
"115",3e+05,0.3,0.01,-1,-1.80265040144297e-05,1.55134863368573e-06,"cl2"
"215",30000,0.8,0.01,-1,-0.000779218725307174,6.34136174826196e-05,"cl2"
"314",3e+05,0.8,0.01,-1,-7.3820239318414e-06,9.58210666197023e-07,"cl2"
"414",30000,0.3,0.001,-1,-0.000975713728690695,6.936126233812e-05,"cl2"
"514",3e+05,0.3,0.001,-1,-6.23197842579188e-05,3.82410393746948e-06,"cl2"
"614",30000,0.8,0.001,-1,-0.000761635584056763,4.47322511254492e-05,"cl2"
"714",3e+05,0.8,0.001,-1,-4.7308986194905e-05,6.10376912936538e-06,"cl2"
"814",30000,0.3,0.01,0,-0.00127580526311738,6.86223627203401e-05,"cl2"
"914",3e+05,0.3,0.01,0,-2.29281626853085e-05,1.92731965553545e-06,"cl2"
"1014",30000,0.8,0.01,0,-0.000736151122156173,3.79696338958682e-05,"cl2"
"1114",3e+05,0.8,0.01,0,-1.16822017705319e-05,1.27912364581349e-06,"cl2"
"1214",30000,0.3,0.001,0,-0.00100024371330973,5.62153093240933e-05,"cl2"
"1314",3e+05,0.3,0.001,0,-6.4566306196992e-05,5.85570678365825e-06,"cl2"
"1414",30000,0.8,0.001,0,-0.000785506338493305,3.24643792863311e-05,"cl2"
"1514",3e+05,0.8,0.001,0,-4.32126123585395e-05,1.05180814960071e-05,"cl2"
"1614",30000,0.3,0.01,1,-0.0012132746010155,6.62162009526738e-05,"cl2"
"1714",3e+05,0.3,0.01,1,-2.42989828463921e-05,3.88400905071392e-06,"cl2"
"1814",30000,0.8,0.01,1,-0.000676822531641082,3.76345183807212e-05,"cl2"
"1914",3e+05,0.8,0.01,1,-1.37793043124622e-05,1.09644385056706e-06,"cl2"
"2014",30000,0.3,0.001,1,-0.000997912064930495,6.10611172128409e-05,"cl2"
"2114",3e+05,0.3,0.001,1,-6.71314418669024e-05,3.90826226446553e-06,"cl2"
"2214",30000,0.8,0.001,1,-0.000821257198228213,4.32060160083711e-05,"cl2"
"2314",3e+05,0.8,0.001,1,-4.12288755286887e-05,1.24477511805999e-05,"cl2"
"16",30000,0.3,0.01,-1,-0.00149639143686641,6.27069497361664e-05,"cl3"
"116",3e+05,0.3,0.01,-1,-1.59688751960763e-05,3.30274157713269e-06,"cl3"
"216",30000,0.8,0.01,-1,-0.000826186614407709,2.48278175817936e-05,"cl3"
"315",3e+05,0.8,0.01,-1,-6.51495739421817e-06,9.83655906014965e-07,"cl3"
"415",30000,0.3,0.001,-1,-0.00107879956381108,5.83637517807519e-05,"cl3"
"515",3e+05,0.3,0.001,-1,-6.76524499961543e-05,3.29723067432903e-06,"cl3"
"615",30000,0.8,0.001,-1,-0.00084584943478615,4.66327964024634e-05,"cl3"
"715",3e+05,0.8,0.001,-1,-6.0214634580478e-05,4.42315107765047e-06,"cl3"
"815",30000,0.3,0.01,0,-0.00140231445472172,6.83947423233212e-05,"cl3"
"915",3e+05,0.3,0.01,0,-2.27430771440095e-05,2.15522123595574e-06,"cl3"
"1015",30000,0.8,0.01,0,-0.000834175469912278,4.64606185318572e-05,"cl3"
"1115",3e+05,0.8,0.01,0,-1.11221605436233e-05,1.61155705006593e-06,"cl3"
"1215",30000,0.3,0.001,0,-0.00115992630875129,0.000101145986851824,"cl3"
"1315",3e+05,0.3,0.001,0,-7.23438982545108e-05,3.91686369115968e-06,"cl3"
"1415",30000,0.8,0.001,0,-0.0008882846757223,4.73916714650414e-05,"cl3"
"1515",3e+05,0.8,0.001,0,-5.89706184258335e-05,6.00191660843248e-06,"cl3"
"1615",30000,0.3,0.01,1,-0.00137790646938934,5.75669320278142e-05,"cl3"
"1715",3e+05,0.3,0.01,1,-2.60787727734895e-05,2.20647571046758e-06,"cl3"
"1815",30000,0.8,0.01,1,-0.000753170239281452,2.36527012015578e-05,"cl3"
"1915",3e+05,0.8,0.01,1,-1.47099842535578e-05,1.2645285099014e-06,"cl3"
"2015",30000,0.3,0.001,1,-0.00114825810045458,5.07445480810571e-05,"cl3"
"2115",3e+05,0.3,0.001,1,-7.59487074028529e-05,5.79032953784216e-06,"cl3"
"2215",30000,0.8,0.001,1,-0.000902225672470345,7.3748656995228e-05,"cl3"
"2315",3e+05,0.8,0.001,1,-6.52976963135277e-05,6.06972629884268e-06,"cl3"
