"","X","n_samples","h2","prop_effect","S","flb","mse","rmse","rel_mse","flb_error","mse_error","rmse_error","rel_mse_error","method"
"1",1,30000,0.3,0.01,-1,0.892980775980389,-0.00155641586111592,-0.0284058639783483,-0.899181274127391,0.0136386962746427,8.0372109203988e-05,0.00106452885323472,0.0113237412315192,"EB"
"2",11,3e+05,0.3,0.01,-1,0.612936718644428,-3.01313633678101e-05,-0.00231745795825317,-0.513078509033097,0.00855529696238067,1.97651819766883e-06,0.000157264427097261,0.0275437858050839,"EB"
"3",21,30000,0.8,0.01,-1,0.743937264609392,-0.000840388621081301,-0.0167546143593777,-0.750583835242587,0.0149753688536927,4.81328731845213e-05,0.000760852932041156,0.0155717809573067,"EB"
"4",31,3e+05,0.8,0.01,-1,0.562924554577105,-1.46876235934882e-05,-0.00131473594067434,-0.376702488215283,0.00778831623456021,1.52104400544763e-06,0.00011104653229695,0.0200095133025241,"EB"
"5",41,30000,0.3,0.001,-1,0.819047373679346,-0.0014030880418684,-0.0256567644243905,-0.868888480772318,0.0124342249632476,6.80374241506321e-05,0.00112473577247635,0.0175290048613414,"EB"
"6",51,3e+05,0.3,0.001,-1,0.656594672308297,-8.54818426407014e-05,-0.00558024645306213,-0.78279983752029,0.0206919089085323,5.71132866068786e-06,0.000252989857842558,0.0174075608089068,"EB"
"7",61,30000,0.8,0.001,-1,0.738332024214651,-0.00106769133669499,-0.0208456053351925,-0.822366817174951,0.0155339773540385,7.53966875551614e-05,0.000964878518881138,0.0123737464533242,"EB"
"8",71,3e+05,0.8,0.001,-1,0.61618469742895,-7.04835974073834e-05,-0.00476622234421448,-0.736651335993878,0.0269728502775319,5.92450713530505e-06,0.000338699720805359,0.0269534975011992,"EB"
"9",81,30000,0.3,0.01,0,0.879980885237361,-0.00152102421744933,-0.0292479988354072,-0.921406526604386,0.0132599630189897,0.000115792893806287,0.00142547824434927,0.0108197256209991,"EB"
"10",91,3e+05,0.3,0.01,0,0.610677252376468,-3.38097505586931e-05,-0.00279121888817859,-0.60888697183113,0.0151491301910245,1.78182232899683e-06,9.69805638280787e-05,0.00896220847600312,"EB"
"11",101,30000,0.8,0.01,0,0.736448305460478,-0.000884631037339101,-0.0185346575817524,-0.805838975697714,0.0115011633734037,4.62325248652683e-05,0.000673465699849222,0.0103396652514463,"EB"
"12",111,3e+05,0.8,0.01,0,0.557113807916339,-1.82172115415783e-05,-0.0017248160236402,-0.482372758580395,0.00551677001099203,1.78796706618583e-06,0.000141581955240544,0.0233438590793858,"EB"
"13",121,30000,0.3,0.001,0,0.807815433411519,-0.00140699509760442,-0.0268441670938441,-0.895076267669223,0.0192500168962882,9.2590043390804e-05,0.00155625328918933,0.0180000653370642,"EB"
"14",131,3e+05,0.3,0.001,0,0.672505382156795,-8.90273906689795e-05,-0.00594237392241708,-0.813475379174333,0.0186498105248829,6.92509163454278e-06,0.000292512060330306,0.0107488312557725,"EB"
"15",141,30000,0.8,0.001,0,0.744861999699831,-0.00114259092729396,-0.0226089595863106,-0.854096330672313,0.0195551413110286,7.70474750197352e-05,0.00108398096989195,0.0118937203690639,"EB"
"16",151,3e+05,0.8,0.001,0,0.600495713319784,-7.60822269048432e-05,-0.00505578358025373,-0.752021508881487,0.0312529966380296,5.90698248603458e-06,0.000356510577268039,0.0294275046174758,"EB"
"17",161,30000,0.3,0.01,1,0.863058531944918,-0.0015576725325816,-0.0293610305250597,-0.916641789677088,0.0100627914099864,7.10726402602511e-05,0.00120470940795588,0.0166520084645853,"EB"
"18",171,3e+05,0.3,0.01,1,0.600242176303455,-3.38362892527124e-05,-0.00287865147939108,-0.632067237110203,0.00859035203417124,2.62770711572044e-06,0.00016305543944325,0.0143568407862676,"EB"
"19",181,30000,0.8,0.01,1,0.732175086476344,-0.00086550372887636,-0.0187068941263256,-0.819777065294667,0.00966099949614824,4.763683725695e-05,0.000842893177534113,0.0142797551862075,"EB"
"20",191,3e+05,0.8,0.01,1,0.559640378566688,-1.99665466198808e-05,-0.00194036407554035,-0.533808129529778,0.00533765481624281,1.45213923218767e-06,0.000110658316556739,0.0160276732694173,"EB"
"21",201,30000,0.3,0.001,1,0.824105707869931,-0.00144592522750117,-0.0276848942304062,-0.905169841485731,0.00913235643191212,9.8354314684075e-05,0.00153421050391476,0.0127904723490598,"EB"
"22",211,3e+05,0.3,0.001,1,0.681758372188512,-9.47065053846706e-05,-0.00633139468482182,-0.835687697132835,0.0197085789698056,4.86420962438868e-06,0.000235073430462715,0.0109036138379863,"EB"
"23",221,30000,0.8,0.001,1,0.75676314621408,-0.00122405082717567,-0.0246151564789015,-0.885943965636444,0.022904508805093,9.53011285616902e-05,0.00115706960783678,0.010390280046273,"EB"
