"","n_samples","h2","prop_effect","S","flb","mse","rel_mse","flb_error","mse_error","rel_mse_error","method"
"1",30000,0.3,0.01,-1,1,-0.00207836322638746,-0.87738970269972,0,0.00152399814590509,0.10849317924338,"EB"
"11",3e+05,0.3,0.01,-1,0.641022410488547,-6.8809065966004e-06,-0.32828721345956,0.0209989586905268,1.05333365874842e-06,0.0398667467920884,"EB"
"21",30000,0.8,0.01,-1,0.910839247638409,-0.000433242760411579,-0.712240101663475,0.066058367753524,0.000130426617662234,0.0745978819048276,"EB"
"31",3e+05,0.8,0.01,-1,0.566640411929134,-1.5230719229097e-06,-0.0912278524744457,0.00781351325549645,2.83748110423396e-07,0.0152642944811683,"EB"
"41",30000,0.3,0.001,-1,0.649424434412853,-3.91568142290892e-05,-0.168543511046749,0.0526648389068448,4.8289988373499e-05,0.21250040382174,"EB"
"51",3e+05,0.3,0.001,-1,0.484480147192433,3.84425677592709e-07,0.0268775393097384,0.0148556113080194,5.17364831949837e-07,0.0343044646417952,"EB"
"61",30000,0.8,0.001,-1,0.500603136488266,6.49574807788696e-07,0.00536882742306605,0.0291279367121815,9.35904564032162e-06,0.064413496876788,"EB"
"71",3e+05,0.8,0.001,-1,0.47682771879754,1.05724719382113e-06,0.0664665027513131,0.0235355105487439,8.99866527332025e-07,0.0527073289801393,"EB"
"81",30000,0.3,0.01,0,1,-0.000797220977269848,-0.918377236879542,0,0.000338884587888189,0.085636211297808,"EB"
"91",3e+05,0.3,0.01,0,0.615137399276648,-2.96645080025004e-06,-0.258346329851559,0.0155096303016299,5.66146767401135e-07,0.039993365967161,"EB"
"101",30000,0.8,0.01,0,0.844334225654463,-0.000143148647191376,-0.620247081381286,0.073287576804782,4.23852798053623e-05,0.143499956836522,"EB"
"111",3e+05,0.8,0.01,0,0.559087336206733,-1.09263494178499e-06,-0.101811647307988,0.0103859395285627,1.01020276542548e-07,0.00843651698671955,"EB"
"121",30000,0.3,0.001,0,0.645749299798332,-3.15227915895659e-05,-0.246569015737475,0.0652976169446422,1.76214123869519e-05,0.0617981784071875,"EB"
"131",3e+05,0.3,0.001,0,0.476725978627922,2.93460986757789e-07,0.0264840500569869,0.0227580225317056,3.94238567621589e-07,0.0363274923008128,"EB"
"141",30000,0.8,0.001,0,0.537419156966149,-4.33190365930748e-06,-0.0391792263013784,0.0341721805884937,5.76348318123081e-06,0.052934581948091,"EB"
"151",3e+05,0.8,0.001,0,0.457857843397352,1.96218396307566e-06,0.155928357804303,0.0241240862124654,1.30714311676671e-06,0.108174134508776,"EB"
"161",30000,0.3,0.01,1,0.613333333333333,-0.000425231825996135,-0.00925806353290262,0.406794151238045,0.00095152843470336,1.69368485122644,"EB"
"171",3e+05,0.3,0.01,1,0.599421027907681,-2.00496177100539e-06,-0.204459667476151,0.0212709119705269,3.75756343250649e-07,0.0353592620901111,"EB"
"181",30000,0.8,0.01,1,0.785754651541589,-0.000110338507862638,-0.599689010409319,0.0503041429750546,1.60080012498126e-05,0.0496976807019493,"EB"
"191",3e+05,0.8,0.01,1,0.553512344147095,-7.29841740783102e-07,-0.0816157756573355,0.0124579044053647,1.03072840401263e-07,0.0121581822376609,"EB"
"201",30000,0.3,0.001,1,0.572145227642467,4.04925847403144e-06,0.0735825133247858,0.0909595365917974,4.64232907198355e-05,0.533616956394219,"EB"
"211",3e+05,0.3,0.001,1,0.468215044883394,3.07839278500116e-07,0.0318641195570309,0.0224436918343858,4.49508875772959e-07,0.0463277591591685,"EB"
"221",30000,0.8,0.001,1,0.49667504311718,6.91230089881912e-07,0.00963043389034344,0.0370009067233748,4.0034710210059e-06,0.0477330002682896,"EB"
"231",3e+05,0.8,0.001,1,0.464735373316612,1.24157059074171e-06,0.114875258786731,0.027037863531719,7.81037492408701e-07,0.0704277391072159,"EB"
"12",30000,0.3,0.01,-1,1,-0.00207177453258288,-0.881690726589849,0,0.00142703533932981,0.0874963036553522,"FIQT"
"112",3e+05,0.3,0.01,-1,0.446513096276427,3.38451997590594e-07,0.0189549868333624,0.0137316698119253,2.04703260182554e-06,0.0987133389291982,"FIQT"
"212",30000,0.8,0.01,-1,0.734744604534877,-0.000475303624566046,-0.738111585595986,0.107619502494974,0.000198801346876121,0.138206423260071,"FIQT"
"311",3e+05,0.8,0.01,-1,0.278758893477788,4.46819295664646e-06,0.269385411136356,0.0056555894328504,6.21271976302861e-07,0.0431236830643874,"FIQT"
"411",30000,0.3,0.001,-1,0.365372643215758,0.000158279261433558,0.844576817782744,0.0291416369862793,9.765349494724e-05,0.629123290227447,"FIQT"
"511",3e+05,0.3,0.001,-1,0.135776475682628,5.96338634387578e-06,0.395335864124136,0.0172366823658533,1.27734937013525e-06,0.0988320885068349,"FIQT"
