"","sim","n_samples","h2","prop_effect","S","flb","mse","rmse","rel_mse","method"
"1",1,30000,0.3,0.01,0,0.971689497716895,-0.000572891596207738,-0.0125218910461856,-0.674832930285903,"EB"
"2",2,30000,0.3,0.01,0,0.976875884851345,-0.000575020878383931,-0.012548615013977,-0.675046105139234,"EB"
"3",3,30000,0.3,0.01,0,0.972836841158482,-0.000577718154002345,-0.0126551625144115,-0.679751589132313,"EB"
"4",4,30000,0.3,0.01,0,0.978837555886736,-0.000594312641786837,-0.0129325213090968,-0.685535546920016,"EB"
"5",5,30000,0.3,0.01,0,0.970665884423585,-0.000582310433218609,-0.0129521552675169,-0.694538767739266,"EB"
"6",6,30000,0.3,0.01,0,0.982621208766881,-0.000591916399361328,-0.0126637142460417,-0.670928965939503,"EB"
"7",7,30000,0.3,0.01,0,0.968583057746121,-0.000584794547685955,-0.0128828389009543,-0.688782007225494,"EB"
"8",8,30000,0.3,0.01,0,0.978899294716152,-0.000568096105069237,-0.0127052911901999,-0.689248791770415,"EB"
"9",9,30000,0.3,0.01,0,0.973910872550243,-0.000581045060311755,-0.0127721508458931,-0.684620949918943,"EB"
"10",10,30000,0.3,0.01,0,0.979883566776183,-0.000562977819961802,-0.0122506461168978,-0.664694071643536,"EB"
"11",11,30000,0.3,0.01,0,0.973690666012511,-0.000563068057755715,-0.0126094259978476,-0.68684399870272,"EB"
"12",12,30000,0.3,0.01,0,0.973421131397785,-0.000585755451545653,-0.0129762223698328,-0.693699643781793,"EB"
"13",13,30000,0.3,0.01,0,0.967999519692603,-0.000570503324328336,-0.0126472913150134,-0.684106229805135,"EB"
"14",14,30000,0.3,0.01,0,0.974602391813586,-0.000563671638294565,-0.012420647930511,-0.674828438146982,"EB"
"15",15,30000,0.3,0.01,0,0.977364397086268,-0.000576074537634222,-0.0125759194848156,-0.676014391290983,"EB"
"16",16,30000,0.3,0.01,0,0.967490788066088,-0.000570596176229526,-0.0126680640470313,-0.685305579837418,"EB"
"17",17,30000,0.3,0.01,0,0.966083916083916,-0.000561901225031662,-0.0128914853065152,-0.704618145275166,"EB"
"18",18,30000,0.3,0.01,0,0.968649118450459,-0.000569801952670595,-0.0125833854024504,-0.680683022214866,"EB"
"19",19,30000,0.3,0.01,0,0.96480344369184,-0.000578700344243414,-0.0128630786243214,-0.691627008932693,"EB"
"20",20,30000,0.3,0.01,0,0.974584075142734,-0.000569444867554713,-0.0126603774325318,-0.685615377530888,"EB"
"21",21,30000,0.3,0.01,0,0.972308080489497,-0.000584875993522213,-0.0128311436485542,-0.685637785547571,"EB"
"22",22,30000,0.3,0.01,0,0.962055109070034,-0.000569091295157899,-0.0124471796311046,-0.672788302624052,"EB"
"23",23,30000,0.3,0.01,0,0.975482143943542,-0.00057231367739294,-0.0126474587026087,-0.682898142447856,"EB"
"24",24,30000,0.3,0.01,0,0.97891212406015,-0.000591401382254952,-0.0129211547301242,-0.686747155057759,"EB"
"25",25,30000,0.3,0.01,0,0.971292144645665,-0.000567913443990611,-0.0125643636514543,-0.680796194478549,"EB"
"26",26,30000,0.3,0.01,0,0.980677747107535,-0.000576837214330395,-0.0126444092162711,-0.679684605259252,"EB"
