"","X","n_samples","h2","prop_effect","S","flb","mse","rmse","rel_mse","flb_error","mse_error","rmse_error","rel_mse_error","method"
"1",1,30000,0.3,0.01,-1,0.943643561091041,-0.00181352864826373,-0.0340282350569113,-0.951064589661913,0.00995095178250702,0.000108435918735782,0.00143720838442757,0.00765175321415335,"EB"
"2",101,3e+05,0.3,0.01,-1,0.597215510585262,-1.98809376952715e-05,-0.00159278833549109,-0.401263380945271,0.00856739064349885,1.66371116976882e-06,0.000113874272468755,0.0195455992223107,"EB"
"3",201,30000,0.8,0.01,-1,0.759416658460449,-0.000900858555702735,-0.0174781705200545,-0.75624399159799,0.0125043898565532,5.46237167898572e-05,0.00080391783231797,0.0150722903495938,"EB"
"4",301,3e+05,0.8,0.01,-1,0.547411809716217,-9.60719488525548e-06,-0.000876883866041249,-0.274241782136971,0.0116761500999575,1.03925121031482e-06,8.59066885543649e-05,0.0212131937996483,"EB"
"5",401,30000,0.3,0.001,-1,0.788279913330825,-0.00120600933157668,-0.0218986135299817,-0.813296417931094,0.0157697861036016,8.76282424310089e-05,0.00140683539347362,0.0244819708251816,"EB"
"6",501,3e+05,0.3,0.001,-1,0.608789892633418,-7.52779949757771e-05,-0.00509011714848814,-0.761371991742416,0.0213855611150804,5.83749225247427e-06,0.000324390983775822,0.0219930682887355,"EB"
"7",601,30000,0.8,0.001,-1,0.689324503650122,-0.000914268089314023,-0.0178054486247657,-0.763584267748093,0.0224841113755792,7.41825635297349e-05,0.00131388337533283,0.0295775532751038,"EB"
"8",701,3e+05,0.8,0.001,-1,0.573864905993242,-6.88311410277196e-05,-0.0047681041275694,-0.745995527184489,0.0176761620854529,5.49099813333343e-06,0.000311862979817602,0.0229501362272402,"EB"
"9",801,30000,0.3,0.01,0,0.921310241647842,-0.00173484253620144,-0.0338547042410766,-0.958052691679262,0.0110735869397203,0.00010422173745617,0.00131724329485488,0.00719987512585205,"EB"
"10",901,3e+05,0.3,0.01,0,0.597845656277157,-2.37269492192154e-05,-0.00205283225658732,-0.512266808274668,0.0108889766680748,1.69538329272127e-06,0.000111587700203358,0.015017514672009,"EB"
"11",1001,30000,0.8,0.01,0,0.744829887894376,-0.00086774676180405,-0.0181988690752664,-0.79971802916578,0.015435606954325,5.38529134139989e-05,0.000763896707118787,0.0103822767835219,"EB"
"12",1101,3e+05,0.8,0.01,0,0.545802878615356,-1.2226748895912e-05,-0.00119491113057469,-0.374384066883807,0.0123554670221913,1.06902079766595e-06,8.76898851708208e-05,0.0183694395152384,"EB"
"13",1201,30000,0.3,0.001,0,0.793163906477382,-0.00129352003978441,-0.0247138533346862,-0.871096005065656,0.0163032038260439,9.04026615241294e-05,0.00129992909130097,0.013915891793228,"EB"
"14",1301,3e+05,0.3,0.001,0,0.616347003654045,-7.74238812044269e-05,-0.0052170031949895,-0.769223385866798,0.0188192861418872,5.89502067544136e-06,0.000325379433798102,0.0219248395075922,"EB"
"15",1401,30000,0.8,0.001,0,0.700680873397055,-0.000983257188171606,-0.0198099302378689,-0.815166052162411,0.0186699365932758,6.52810487307512e-05,0.00102946607123499,0.0169522746071643,"EB"
"16",1501,3e+05,0.8,0.001,0,0.578140944633278,-6.80519503865146e-05,-0.0046651985498393,-0.733910764980216,0.0173381048306163,4.96981054118888e-06,0.000281520759806573,0.0221614498392405,"EB"
"17",1601,30000,0.3,0.01,1,0.902526554281062,-0.00166788744327785,-0.0323417347626399,-0.946978611223398,0.0122624228918618,8.42226128437581e-05,0.0013268339877997,0.0105569325523428,"EB"
"18",1701,3e+05,0.3,0.01,1,0.593576648378743,-2.5177495181699e-05,-0.0022163592352946,-0.546319657835843,0.00948388968160548,2.03722240201455e-06,0.000136897593000558,0.0177332903581727,"EB"
"19",1801,30000,0.8,0.01,1,0.727940442152818,-0.00082519009248614,-0.0175075787746954,-0.789993927004838,0.0117696866222917,5.17023229333014e-05,0.000711386035785286,0.0111375301512491,"EB"
"20",1901,3e+05,0.8,0.01,1,0.547344059280498,-1.43794038170712e-05,-0.00143798468493075,-0.439581023753097,0.0121904786306352,1.06403902449627e-06,8.53686444322907e-05,0.0157651721749857,"EB"
"21",2001,30000,0.3,0.001,1,0.799549164116484,-0.00133489730648276,-0.0257509572179241,-0.886663172201501,0.0148621368637769,8.55767953319875e-05,0.0011994882519404,0.0126113153244134,"EB"
"22",2101,3e+05,0.3,0.001,1,0.629417244138744,-8.33315952882184e-05,-0.0057370237048156,-0.811644327348613,0.0174399661319234,5.41444905294809e-06,0.000278538849144733,0.0149479775539412,"EB"
"23",2201,30000,0.8,0.001,1,0.708863902863132,-0.00105890255900584,-0.0217258270731123,-0.852823133551612,0.0213609736967662,6.9105218473592e-05,0.00102791547821506,0.0127653082348267,"EB"
"24",2301,3e+05,0.8,0.001,1,0.588015581273084,-7.35188795860254e-05,-0.00508560916609577,-0.769701840795233,0.0174325007538807,5.15879875806678e-06,0.000282153802240843,0.0182261856392272,"EB"
"25",11,30000,0.3,0.01,-1,0.942689046843784,-0.00181377316057402,-0.034039678752344,-0.951215433103255,0.00980408862738098,0.000107677294356538,0.00139761996242333,0.00724128399608128,"EB_df"
"26",1011,3e+05,0.3,0.01,-1,0.562465886951582,-1.77161436030266e-05,-0.00139736272418052,-0.357233468689125,0.0141645289081692,1.96399537299506e-06,0.000141968347017751,0.0272461018847973,"EB_df"
"27",2011,30000,0.8,0.01,-1,0.75878486212694,-0.000901543170143063,-0.0174971045037505,-0.756806302798384,0.0122842722342851,5.45007755774265e-05,0.000787574480754866,0.014106016761827,"EB_df"
"28",3011,3e+05,0.8,0.01,-1,0.27463614111546,1.08612539987742e-05,0.000855660689714635,0.312395479412747,0.00896854493078948,2.41209399432896e-06,0.000186206116189588,0.0756660694632125,"EB_df"
"29",4011,30000,0.3,0.001,-1,0.72886932283874,-0.0011721024450173,-0.0208990126615194,-0.790241789330984,0.0143536615045264,8.91904547394648e-05,0.00138672505187245,0.0239145541026444,"EB_df"
"30",5011,3e+05,0.3,0.001,-1,0.486115594776652,-4.72023969064547e-05,-0.00276657180793478,-0.47553305141774,0.0186824329709435,9.33438000635525e-06,0.000569871828874572,0.0759385950502031,"EB_df"
"31",6011,30000,0.8,0.001,-1,0.658756539874523,-0.000843803815974425,-0.0158119524162577,-0.704677801691181,0.0273192562455697,6.85142059595204e-05,0.00108330977736129,0.0254892991212935,"EB_df"
"32",7011,3e+05,0.8,0.001,-1,0.476228296808612,-2.8444927963871e-05,-0.00162341838745458,-0.30718778766228,0.0160995991955475,7.15809825099763e-06,0.00042895942907794,0.0703616021663762,"EB_df"
"33",8011,30000,0.3,0.01,0,0.921650731688451,-0.00173540725789993,-0.0338698463746413,-0.95834987602033,0.0108356563647641,0.000104305291410486,0.00122567622476421,0.00438881344921624,"EB_df"
"34",9011,3e+05,0.3,0.01,0,0.525614900993542,-2.30746145755092e-05,-0.00198419006744897,-0.497880867319833,0.027235930851662,1.89138631850098e-06,0.000129826400830049,0.0180812659573092,"EB_df"
"35",10011,30000,0.8,0.01,0,0.736122512895153,-0.000872935735411637,-0.0183758587807449,-0.804522903601924,0.0145792233210981,5.36358019851933e-05,0.000750167428773557,0.00965450248533015,"EB_df"
"36",11011,3e+05,0.8,0.01,0,0.280652570017509,3.46274700054622e-06,0.00029477530299707,0.108291518102007,0.00963994910642121,2.37096309369667e-06,0.000203103340603727,0.0759823487234228,"EB_df"
"37",12011,30000,0.3,0.001,0,0.733659457763069,-0.00127127121972884,-0.0239242906645593,-0.856082075075072,0.0166351128532156,8.9116099063587e-05,0.00121477074212876,0.0123616759087481,"EB_df"
"38",13011,3e+05,0.3,0.001,0,0.497942929278743,-4.97264449546872e-05,-0.00290511376522265,-0.492702418042066,0.0199586303028322,8.25788453733844e-06,0.000502904657277054,0.064626601389949,"EB_df"
"39",14011,30000,0.8,0.001,0,0.663347896836717,-0.000921681233791532,-0.0178662989690555,-0.76399822117519,0.0185155744078099,6.38319232946196e-05,0.000946781377417879,0.0168912158519136,"EB_df"
"40",15011,3e+05,0.8,0.001,0,0.484639615840638,-2.64820852596722e-05,-0.0014928033093887,-0.284402982141537,0.0141518600849357,6.02478850156487e-06,0.00034485726114405,0.0557791163030793,"EB_df"
"41",16011,30000,0.3,0.01,1,0.901422862302831,-0.00166966762452667,-0.0324056794044688,-0.948022714053087,0.0096952205507108,8.17088512876549e-05,0.00103889797890403,0.00556116192498968,"EB_df"
"42",17011,3e+05,0.3,0.01,1,0.469452350638181,-2.43643656962779e-05,-0.00212761704055808,-0.528363407393281,0.0242497762030615,2.18764692418187e-06,0.000149047724512636,0.0193185021694805,"EB_df"
"43",18011,30000,0.8,0.01,1,0.706563908840321,-0.000834749774464567,-0.0178310568403324,-0.799042591094738,0.0129823472296301,5.37381486846176e-05,0.000747795908009182,0.0097611847052699,"EB_df"
"44",19011,3e+05,0.8,0.01,1,0.289268843481322,-9.20682821740369e-07,-8.14111674724716e-05,-0.026468571628233,0.0123775362125963,2.02430272795856e-06,0.000180319083342234,0.0605132790125342,"EB_df"
"45",20011,30000,0.3,0.001,1,0.743522052567807,-0.00130594459149519,-0.0246753181275433,-0.867338299806424,0.01491456770523,8.54340601016322e-05,0.00112900249575549,0.0107437927103003,"EB_df"
"46",21011,3e+05,0.3,0.001,1,0.516976962286699,-6.15076777062216e-05,-0.00372413689779214,-0.59838389018675,0.0207085118817802,6.82483611336694e-06,0.000429210441430668,0.0473644088484559,"EB_df"
