"","n_samples","h2","prop_effect","S","flb","mse","rel_mse","flb_error","mse_error","rel_mse_error","method"
"1",30000,0.3,0.01,-1,0.941995750869107,-0.00178877099950355,-0.951632067949645,0.0100544873243601,0.000154645161307427,0.00906518166102368,"EB"
"11",3e+05,0.3,0.01,-1,0.599739345168947,-1.95985530425792e-05,-0.401321637773012,0.00752461267778495,1.22064565152294e-06,0.0162294682435344,"EB"
"21",30000,0.8,0.01,-1,0.762142182763876,-0.00091139401458644,-0.763428585300115,0.0122993569496546,4.3262735550671e-05,0.0115436425002933,"EB"
"31",3e+05,0.8,0.01,-1,0.552470300527887,-1.02123279068573e-05,-0.285905022471182,0.00820014500754535,1.01621288378721e-06,0.0173680118999794,"EB"
"41",30000,0.3,0.001,-1,0.791276350185233,-0.00122599996922169,-0.818351999574452,0.0187876987022681,7.87254079790721e-05,0.019214383556105,"EB"
"51",3e+05,0.3,0.001,-1,0.661169525342417,-7.35700494346719e-05,-0.758188719896231,0.0126875919810605,3.38433504557229e-06,0.018598465720424,"EB"
"61",30000,0.8,0.001,-1,0.704128349405202,-0.000967581781826353,-0.788825891571986,0.0133773560191599,8.08754871697296e-05,0.0171013801291178,"EB"
"71",3e+05,0.8,0.001,-1,0.648978089214545,-6.70121803856786e-05,-0.738987372337314,0.014610779439432,4.81558814356186e-06,0.0255612893965593,"EB"
"81",30000,0.3,0.01,0,0.923232430810164,-0.00176459154302165,-0.960189875229946,0.011627886273719,8.84882227205458e-05,0.00350401374420088,"EB"
"91",3e+05,0.3,0.01,0,0.599063170381397,-2.43881040056663e-05,-0.517240578642878,0.00511406248680507,2.31021671942104e-06,0.017697255544962,"EB"
"101",30000,0.8,0.01,0,0.742699089831233,-0.000880711787593,-0.800295526358937,0.00914691558543464,5.20938184605807e-05,0.0115143876473912,"EB"
"111",3e+05,0.8,0.01,0,0.552609956024938,-1.23031372654623e-05,-0.376157844066145,0.00747309330861841,7.97850601866492e-07,0.0143060415885101,"EB"
"121",30000,0.3,0.001,0,0.801159365744349,-0.0013035043857916,-0.869361065398117,0.0172258861090169,5.79075434587814e-05,0.0130027206922292,"EB"
"131",3e+05,0.3,0.001,0,0.662022577427581,-7.59719439523783e-05,-0.766058497665294,0.0140930474055511,5.68862836362268e-06,0.0315788725427732,"EB"
"141",30000,0.8,0.001,0,0.724074836708257,-0.000971964842604549,-0.80801888042017,0.0155228966591589,5.24057880502843e-05,0.0156494868748071,"EB"
"151",3e+05,0.8,0.001,0,0.646985460266941,-7.06189972943079e-05,-0.735451670692314,0.0154723535173887,5.39429345100095e-06,0.0155931724095177,"EB"
"161",30000,0.3,0.01,1,0.899181313827741,-0.00168968176521183,-0.948293348705789,0.0121700345497471,0.000125205859214369,0.0120793506263556,"EB"
"171",3e+05,0.3,0.01,1,0.594286556222171,-2.49691945522964e-05,-0.541010578320995,0.0117907261932119,2.16355307860841e-06,0.0178158980317257,"EB"
"181",30000,0.8,0.01,1,0.731469897527339,-0.000842584529497691,-0.791567658563861,0.0153401192313984,7.20201852348828e-05,0.00987535253134126,"EB"
"191",3e+05,0.8,0.01,1,0.552684054194079,-1.46749424743814e-05,-0.444511653543775,0.00705659182701418,1.16134250562279e-06,0.0212247610510277,"EB"
"201",30000,0.3,0.001,1,0.802242822503821,-0.00134689562067713,-0.889428429706971,0.0105076210351606,5.83714865909949e-05,0.00750832754866626,"EB"
"211",3e+05,0.3,0.001,1,0.673372328505336,-8.36232302857892e-05,-0.811336402557871,0.0127952825237,3.9722877276012e-06,0.0158160252022505,"EB"
"221",30000,0.8,0.001,1,0.722807034192324,-0.00102601952111071,-0.845624168763863,0.00890180577272131,6.28187678562612e-05,0.0143213278225658,"EB"
"231",3e+05,0.8,0.001,1,0.656278830574783,-7.30876330619099e-05,-0.767856256344325,0.0209587539491211,3.06199928211586e-06,0.0124886292304519,"EB"
"12",30000,0.3,0.01,-1,0.936672772230028,-0.00179279513454423,-0.95376363682526,0.0110124702028825,0.000155202241587559,0.00915020284820875,"FIQT"
"112",3e+05,0.3,0.01,-1,0.462805957930896,-1.09221134155165e-05,-0.223082773967447,0.010443968952345,1.94277221772672e-06,0.0344558515336078,"FIQT"
"212",30000,0.8,0.01,-1,0.709820577074973,-0.000892643778245151,-0.747502818845765,0.00670798258956881,4.90064251562054e-05,0.0141894088369591,"FIQT"
"311",3e+05,0.8,0.01,-1,0.350961056455623,-2.18446757157773e-06,-0.0601933117330428,0.00543558810106676,1.21828175555336e-06,0.0309393229617054,"FIQT"
"411",30000,0.3,0.001,-1,0.736949662278354,-0.0011642681841703,-0.77686465416866,0.0109554170157384,8.38144550120024e-05,0.0207493379076189,"FIQT"
"511",3e+05,0.3,0.001,-1,0.493816291525064,-6.69007970527888e-05,-0.689125354857029,0.0164033005327676,3.93072740580339e-06,0.0209922381576687,"FIQT"
"611",30000,0.8,0.001,-1,0.60551957794945,-0.000876270613246976,-0.714233103289005,0.00977920751021675,7.62855706946491e-05,0.0147433384115742,"FIQT"
"711",3e+05,0.8,0.001,-1,0.443050141971073,-6.3507771940381e-05,-0.700645755450219,0.0122178621010336,3.94078261821036e-06,0.0193064072159698,"FIQT"
"811",30000,0.3,0.01,0,0.920153696902932,-0.00176849844381782,-0.962317709526054,0.00821696867697331,8.85037757839493e-05,0.00289149646705739,"FIQT"
"911",3e+05,0.3,0.01,0,0.459836624123426,-2.14395215775475e-05,-0.454024429655669,0.0081893734510398,2.56840083705304e-06,0.0263266545506423,"FIQT"
"1011",30000,0.8,0.01,0,0.691183980905072,-0.000886772690396139,-0.805718445182235,0.0104997570266153,5.33633286194848e-05,0.00863997534664607,"FIQT"
"1111",3e+05,0.8,0.01,0,0.35543639130477,-8.29140496152858e-06,-0.253180131129834,0.00667398633728794,9.27153435858907e-07,0.0210845837012117,"FIQT"
"1211",30000,0.3,0.001,0,0.738461317552322,-0.00127771571007248,-0.851985059326234,0.0158444828880675,6.124633148094e-05,0.00878064925277521,"FIQT"
"1311",3e+05,0.3,0.001,0,0.50658583723621,-7.01874493081499e-05,-0.707697585115912,0.0121132572863727,5.07419652369174e-06,0.0240524685689821,"FIQT"
"1411",30000,0.8,0.001,0,0.614973865994068,-0.000922446047767994,-0.766877756799904,0.0135485389084646,4.72699527956951e-05,0.0108810388328952,"FIQT"
"1511",3e+05,0.8,0.001,0,0.464798915091632,-6.75319452288007e-05,-0.702977931193501,0.0115444570554497,5.77036923792533e-06,0.0180416125862142,"FIQT"
"1611",30000,0.3,0.01,1,0.896548140149947,-0.00170161458744926,-0.955201338030272,0.0125856066864927,0.000119259305995497,0.00555899329669105,"FIQT"
"1711",3e+05,0.3,0.01,1,0.449986616612551,-2.23198349724882e-05,-0.483057434851069,0.00923490771163328,2.34393189291293e-06,0.0217667221965984,"FIQT"
"1811",30000,0.8,0.01,1,0.669606199398547,-0.00084473211510813,-0.793253437608133,0.0149234602156691,7.66808590103902e-05,0.0104626428057541,"FIQT"
"1911",3e+05,0.8,0.01,1,0.353390847317434,-1.12922506644855e-05,-0.341896017576963,0.00665842789225386,1.03582344594197e-06,0.0201646388149552,"FIQT"
"2011",30000,0.3,0.001,1,0.746940359460027,-0.00132224909182792,-0.873090812459726,0.00573147977234071,5.9242973718994e-05,0.0063627566833397,"FIQT"
"2111",3e+05,0.3,0.001,1,0.529192629347935,-7.8936117813166e-05,-0.765765614200287,0.0157161532151323,3.9944193066698e-06,0.0150176883460745,"FIQT"
"2211",30000,0.8,0.001,1,0.626899877672404,-0.00097827151963939,-0.806085962844933,0.00771541276178148,6.3189537755411e-05,0.00997564492566559,"FIQT"
"2311",3e+05,0.8,0.001,1,0.481036675313772,-7.11013429383651e-05,-0.746995231953254,0.0134938319198482,2.8271023373719e-06,0.00695884995752859,"FIQT"
"13",30000,0.3,0.01,-1,0.969754819605809,-0.00168359792721544,-0.895900122153366,0.00824009114703051,0.000139601040531074,0.00684544204946118,"BR"
"113",3e+05,0.3,0.01,-1,0.519620388622373,-1.38392220366307e-05,-0.282962955574776,0.00825742196584056,1.7574059214554e-06,0.0289928887892701,"BR"
"213",30000,0.8,0.01,-1,0.752172518228455,-0.000880465678492995,-0.737400293799467,0.00839527410111003,4.50628081992549e-05,0.0112198255080447,"BR"
"312",3e+05,0.8,0.01,-1,0.496012159786464,-6.19191128449112e-06,-0.17287806934452,0.00724559901274288,1.0390226654522e-06,0.0211550564336819,"BR"
"412",30000,0.3,0.001,-1,0.761953369327234,-0.00109046150167679,-0.727804908208719,0.0131997189143692,7.18986158303594e-05,0.0155125838741301,"BR"
"512",3e+05,0.3,0.001,-1,0.564518993207184,-5.42917120866237e-05,-0.559077901122219,0.0123067061274799,3.71281424657251e-06,0.0217377695148972,"BR"
"612",30000,0.8,0.001,-1,0.628770985305717,-0.000792674801242055,-0.646196083450443,0.0112725055355066,6.9663120832488e-05,0.018156184728488,"BR"
"712",3e+05,0.8,0.001,-1,0.552176761430462,-5.13437692623428e-05,-0.566293950655034,0.0158013660939422,3.38890468909926e-06,0.0149730364718972,"BR"
"812",30000,0.3,0.01,0,0.953500527712438,-0.00163932361442888,-0.892019948298086,0.00780600147909321,8.30255181179875e-05,0.00473515037523882,"BR"
"912",3e+05,0.3,0.01,0,0.52235746260966,-2.19989440364641e-05,-0.466206171989947,0.0082804934024678,2.37439867026259e-06,0.0219535223936245,"BR"
"1012",30000,0.8,0.01,0,0.728648952782931,-0.00084521189394329,-0.768065019839506,0.0126966740789297,4.84267504274077e-05,0.00568150233104006,"BR"
"1112",3e+05,0.8,0.01,0,0.497309545723991,-1.02696253842951e-05,-0.313915236247608,0.00683561121789038,7.69144220097268e-07,0.0153640127949796,"BR"
"1212",30000,0.3,0.001,0,0.765473280918162,-0.00117726767543884,-0.785035422855033,0.0155498649277655,5.53625453849708e-05,0.00759564017336789,"BR"
"1312",3e+05,0.3,0.001,0,0.576367882827046,-5.78858050726556e-05,-0.583628186573496,0.015147673213276,4.25975001946523e-06,0.0202786372970103,"BR"
"1412",30000,0.8,0.001,0,0.638275036824194,-0.000829713556211746,-0.6896739144392,0.0144957438135309,4.49408348331124e-05,0.00865668239348019,"BR"
"1512",3e+05,0.8,0.001,0,0.562316634417871,-5.49272536724735e-05,-0.571594718801266,0.00971212655176697,5.02439925952034e-06,0.0180923572898996,"BR"
"1612",30000,0.3,0.01,1,0.928336746475966,-0.00157512273855094,-0.884272861529177,0.0109634114230305,0.000108264575095379,0.00490210373192374,"BR"
"1712",3e+05,0.3,0.01,1,0.518547875683274,-2.23627879374779e-05,-0.484259610010957,0.0137622424953407,2.11007358635997e-06,0.0173470892753394,"BR"
