"","n_samples","h2","prop_effect","S","results","res_error","method"
"2112",3e+05,0.3,0.001,1,0.379136001663779,0.0332999504869058,"BR"
"2212",30000,0.8,0.001,1,0.34815117763015,0.0389310425553098,"BR"
"2312",3e+05,0.8,0.001,1,0.408122349115953,0.0239482653358187,"BR"
"14",30000,0.3,0.01,-1,0.35,0.474341649025257,"cl1"
"114",3e+05,0.3,0.01,-1,0.525043090940417,0.0180789708276092,"cl1"
"214",30000,0.8,0.01,-1,0.599322251357263,0.0833855358701561,"cl1"
"313",3e+05,0.8,0.01,-1,0.513533770518887,0.0090857870574786,"cl1"
"413",30000,0.3,0.001,-1,0.512878992107466,0.0437626684345264,"cl1"
"513",3e+05,0.3,0.001,-1,0.500129994843327,0.0211571893568234,"cl1"
"613",30000,0.8,0.001,-1,0.51935868881166,0.049235353326616,"cl1"
"713",3e+05,0.8,0.001,-1,0.511824888185881,0.0207989989805045,"cl1"
"813",30000,0.3,0.01,0,0.5,0.52704627669473,"cl1"
"913",3e+05,0.3,0.01,0,0.529437719996965,0.0126278012487289,"cl1"
"1013",30000,0.8,0.01,0,0.628805264180264,0.0792365679265747,"cl1"
"1113",3e+05,0.8,0.01,0,0.514774488665996,0.00818941542540032,"cl1"
"1213",30000,0.3,0.001,0,0.533707354428259,0.064682747287679,"cl1"
"1313",3e+05,0.3,0.001,0,0.504419096089999,0.0243342764159635,"cl1"
"1413",30000,0.8,0.001,0,0.513247303552411,0.032927057242148,"cl1"
"1513",3e+05,0.8,0.001,0,0.506940540267501,0.0126378717047884,"cl1"
"1613",30000,0.3,0.01,1,0.4,0.516397779494322,"cl1"
"1713",3e+05,0.3,0.01,1,0.535947844933378,0.0127136429883826,"cl1"
"1813",30000,0.8,0.01,1,0.714185763053485,0.127590429610547,"cl1"
"1913",3e+05,0.8,0.01,1,0.511829036652977,0.00856772252085878,"cl1"
"2013",30000,0.3,0.001,1,0.557795742741263,0.0533721975216121,"cl1"
"2113",3e+05,0.3,0.001,1,0.511417792982242,0.0186595500972347,"cl1"
"2213",30000,0.8,0.001,1,0.503734897746742,0.0402521560712925,"cl1"
"2313",3e+05,0.8,0.001,1,0.505731798581109,0.0185497911781749,"cl1"
"15",30000,0.3,0.01,-1,0.6,0.516397779494322,"cl2"
"115",3e+05,0.3,0.01,-1,0.499310737726331,0.0224345003627141,"cl2"
"215",30000,0.8,0.01,-1,0.782626030255927,0.0594223464109985,"cl2"
"314",3e+05,0.8,0.01,-1,0.487729091181521,0.0109125941781641,"cl2"
"414",30000,0.3,0.001,-1,0.522809521627986,0.0496341199049765,"cl2"
"514",3e+05,0.3,0.001,-1,0.486674420034398,0.0248564619706398,"cl2"
"614",30000,0.8,0.001,-1,0.481542157256969,0.0370497650327254,"cl2"
"714",3e+05,0.8,0.001,-1,0.472405000510074,0.014862223161898,"cl2"
"814",30000,0.3,0.01,0,0.6,0.516397779494322,"cl2"
"914",3e+05,0.3,0.01,0,0.501062080548434,0.0195759597015615,"cl2"
"1014",30000,0.8,0.01,0,0.765706900127805,0.125131445176735,"cl2"
"1114",3e+05,0.8,0.01,0,0.489529984655748,0.0081294633393444,"cl2"
"1214",30000,0.3,0.001,0,0.501276828459977,0.0426384312466992,"cl2"
"1314",3e+05,0.3,0.001,0,0.47901688791202,0.0225001014116756,"cl2"
"1414",30000,0.8,0.001,0,0.480177154079688,0.0250459719391455,"cl2"
"1514",3e+05,0.8,0.001,0,0.473185559492246,0.019342128424086,"cl2"
"1614",30000,0.3,0.01,1,0.7,0.483045891539648,"cl2"
"1714",3e+05,0.3,0.01,1,0.49655942939791,0.0154842757501262,"cl2"
"1814",30000,0.8,0.01,1,0.913184789067142,0.0580889114726972,"cl2"
"1914",3e+05,0.8,0.01,1,0.481144766200433,0.00618353768954483,"cl2"
"2014",30000,0.3,0.001,1,0.496729834835528,0.0508030773270007,"cl2"
"2114",3e+05,0.3,0.001,1,0.467198678675245,0.0186362633491024,"cl2"
"2214",30000,0.8,0.001,1,0.485640214854706,0.0352724759441778,"cl2"
"2314",3e+05,0.8,0.001,1,0.468188647355906,0.0164761875647446,"cl2"
"16",30000,0.3,0.01,-1,0.4,0.516397779494322,"cl3"
"116",3e+05,0.3,0.01,-1,0.509912470503864,0.0257497866377562,"cl3"
"216",30000,0.8,0.01,-1,0.669562379604894,0.0856432953190376,"cl3"
"315",3e+05,0.8,0.01,-1,0.494562457866761,0.0087877953188647,"cl3"
"415",30000,0.3,0.001,-1,0.503888899285173,0.0320408045801341,"cl3"
"515",3e+05,0.3,0.001,-1,0.50171168154949,0.0236606561804906,"cl3"
"615",30000,0.8,0.001,-1,0.496858156083597,0.0323366769183004,"cl3"
"715",3e+05,0.8,0.001,-1,0.494907736737025,0.00735423652396832,"cl3"
