"","n_samples","h2","prop_effect","S","results","res_error","method"
"813",30000,0.3,0.01,0,0.933333333333333,0.149071198499986,"cl1"
"913",3e+05,0.3,0.01,0,0.523300740761952,0.0196949762230213,"cl1"
"1013",30000,0.8,0.01,0,0.600654510661543,0.0557560986721921,"cl1"
"1113",3e+05,0.8,0.01,0,0.512531653949428,0.0090707004729288,"cl1"
"1213",30000,0.3,0.001,0,0.534283577339907,0.0487290878736646,"cl1"
"1313",3e+05,0.3,0.001,0,0.516383749715227,0.0228220907078742,"cl1"
"1413",30000,0.8,0.001,0,0.514347458263289,0.0375568841444888,"cl1"
"1513",3e+05,0.8,0.001,0,0.499413631882141,0.0176569583039837,"cl1"
"1613",30000,0.3,0.01,1,0.785185185185185,0.183984533703177,"cl1"
"1713",3e+05,0.3,0.01,1,0.533634980174237,0.00808993423083741,"cl1"
"1813",30000,0.8,0.01,1,0.570194283362105,0.0417916180928369,"cl1"
"1913",3e+05,0.8,0.01,1,0.515221211015658,0.00722889450913951,"cl1"
"2013",30000,0.3,0.001,1,0.541296202156762,0.0498829016823204,"cl1"
"2113",3e+05,0.3,0.001,1,0.504563013489781,0.0179912925345643,"cl1"
"2213",30000,0.8,0.001,1,0.499481726808633,0.0193517436880099,"cl1"
"2313",3e+05,0.8,0.001,1,0.499904141526249,0.021098895923826,"cl1"
"15",30000,0.3,0.01,-1,1,0,"cl2"
"115",3e+05,0.3,0.01,-1,0.495984051980306,0.0150539254343207,"cl2"
"215",30000,0.8,0.01,-1,0.758742064695902,0.0715956142669917,"cl2"
"314",3e+05,0.8,0.01,-1,0.482023054007359,0.00773796904220118,"cl2"
"414",30000,0.3,0.001,-1,0.518447858356815,0.0517811159483686,"cl2"
"514",3e+05,0.3,0.001,-1,0.469372016401398,0.0180475588168464,"cl2"
"614",30000,0.8,0.001,-1,0.488434065470967,0.0273160035500526,"cl2"
"714",3e+05,0.8,0.001,-1,0.477624416455916,0.0133382190488423,"cl2"
"814",30000,0.3,0.01,0,0.966666666666667,0.105409255338946,"cl2"
"914",3e+05,0.3,0.01,0,0.491789687161527,0.0220639098783873,"cl2"
"1014",30000,0.8,0.01,0,0.660169008470323,0.0662308737263669,"cl2"
"1114",3e+05,0.8,0.01,0,0.489981556050898,0.0115919204686021,"cl2"
"1214",30000,0.3,0.001,0,0.524285330463491,0.0466026977230911,"cl2"
"1314",3e+05,0.3,0.001,0,0.47471095936436,0.0172251574575485,"cl2"
"1414",30000,0.8,0.001,0,0.482262694271974,0.0182292255722771,"cl2"
