"","n_samples","h2","prop_effect","S","results","res_error","method"
"2212",30000,0.8,0.001,1,0.000123616507320387,2.5265872798572e-05,"BR"
"2312",3e+05,0.8,0.001,1,4.57569227755639e-06,1.15686059185206e-06,"BR"
"14",30000,0.3,0.01,-1,-0.000895431370716129,0.000711180493229884,"cl1"
"114",3e+05,0.3,0.01,-1,5.28064702932197e-05,5.8605286921454e-06,"cl1"
"214",30000,0.8,0.01,-1,0.000270842413732188,0.000283125796387293,"cl1"
"313",3e+05,0.8,0.01,-1,3.36283123151498e-05,2.49175219390554e-06,"cl1"
"413",30000,0.3,0.001,-1,0.000449555411411037,0.000106037589422256,"cl1"
"513",3e+05,0.3,0.001,-1,1.34694451925943e-05,3.83177916388341e-06,"cl1"
"613",30000,0.8,0.001,-1,0.000335277901365474,9.75141996892866e-05,"cl1"
"713",3e+05,0.8,0.001,-1,9.08076372241526e-06,2.93500697261428e-06,"cl1"
"813",30000,0.3,0.01,0,-0.000196715788865235,0.000347864480201743,"cl1"
"913",3e+05,0.3,0.01,0,2.64416913102529e-05,1.68397498563232e-06,"cl1"
"1013",30000,0.8,0.01,0,0.000210629731052016,7.72939488747721e-05,"cl1"
"1113",3e+05,0.8,0.01,0,2.05105856794877e-05,1.15069540911282e-06,"cl1"
"1213",30000,0.3,0.001,0,0.000264513164504743,8.89052655858123e-05,"cl1"
"1313",3e+05,0.3,0.001,0,1.35594930339784e-05,5.89811892116651e-06,"cl1"
"1413",30000,0.8,0.001,0,0.000223277768340774,5.41926919808458e-05,"cl1"
"1513",3e+05,0.8,0.001,0,1.02600654994442e-05,2.52006275937355e-06,"cl1"
"1613",30000,0.3,0.01,1,-0.00022587883794729,0.00036315752297673,"cl1"
"1713",3e+05,0.3,0.01,1,2.21958465821556e-05,2.53054671997795e-06,"cl1"
"1813",30000,0.8,0.01,1,0.000251062816884351,6.36206691563032e-05,"cl1"
"1913",3e+05,0.8,0.01,1,1.66920255382717e-05,8.69153982216041e-07,"cl1"
"2013",30000,0.3,0.001,1,0.000193984448923137,6.17695419375672e-05,"cl1"
"2113",3e+05,0.3,0.001,1,1.05420812151e-05,3.4653391249108e-06,"cl1"
"2213",30000,0.8,0.001,1,0.000163634950881162,3.92393396786339e-05,"cl1"
"2313",3e+05,0.8,0.001,1,7.43709113955834e-06,1.93479916131702e-06,"cl1"
"15",30000,0.3,0.01,-1,-0.00188676363866934,0.000960288199036973,"cl2"
"115",3e+05,0.3,0.01,-1,2.23229655549314e-05,4.69142067432641e-06,"cl2"
"215",30000,0.8,0.01,-1,-0.000300471428771715,0.000199640067834619,"cl2"
"314",3e+05,0.8,0.01,-1,2.02296375547603e-05,3.31768326523491e-06,"cl2"
"414",30000,0.3,0.001,-1,0.000222797574216179,8.98213677411236e-05,"cl2"
"514",3e+05,0.3,0.001,-1,9.78728906533758e-06,3.53749358988509e-06,"cl2"
"614",30000,0.8,0.001,-1,0.00022639613653754,6.99296030203475e-05,"cl2"
"714",3e+05,0.8,0.001,-1,2.47598117811102e-05,1.92819646737404e-05,"cl2"
"814",30000,0.3,0.01,0,-0.000661446970154879,0.000362728363048164,"cl2"
"914",3e+05,0.3,0.01,0,1.10192640368534e-05,1.3683081651325e-06,"cl2"
"1014",30000,0.8,0.01,0,-4.31443917276495e-05,3.61747523033086e-05,"cl2"
"1114",3e+05,0.8,0.01,0,1.07457119376936e-05,6.98828364896645e-07,"cl2"
"1214",30000,0.3,0.001,0,0.000109630612126191,3.58295721224951e-05,"cl2"
"1314",3e+05,0.3,0.001,0,8.67229685140565e-06,2.06556867054265e-06,"cl2"
"1414",30000,0.8,0.001,0,0.000123986133318987,1.9111271048163e-05,"cl2"
"1514",3e+05,0.8,0.001,0,2.42440638144541e-05,7.91411703627435e-06,"cl2"
"1614",30000,0.3,0.01,1,-0.000393191200453673,0.000243975019846892,"cl2"
"1714",3e+05,0.3,0.01,1,1.21290914082952e-05,5.02531780499409e-06,"cl2"
"1814",30000,0.8,0.01,1,1.71593829689749e-05,5.05159745293398e-05,"cl2"
"1914",3e+05,0.8,0.01,1,8.86983619845568e-06,9.47541143994646e-07,"cl2"
"2014",30000,0.3,0.001,1,0.00010159596817557,3.4977931843182e-05,"cl2"
"2114",3e+05,0.3,0.001,1,7.15315588503463e-06,1.64774883744626e-06,"cl2"
"2214",30000,0.8,0.001,1,7.92830286790843e-05,1.83850072114107e-05,"cl2"
"2314",3e+05,0.8,0.001,1,4.29879861121055e-05,1.30254274189918e-05,"cl2"
"16",30000,0.3,0.01,-1,-0.00100570310000766,0.00113095482645611,"cl3"
"116",3e+05,0.3,0.01,-1,3.58658667709494e-05,4.45812446737932e-06,"cl3"
"216",30000,0.8,0.01,-1,-5.77776169550254e-05,0.000254829652340657,"cl3"
"315",3e+05,0.8,0.01,-1,2.72590580686135e-05,2.33156111260915e-06,"cl3"
"415",30000,0.3,0.001,-1,0.000433266383285694,0.000226510796602251,"cl3"
"515",3e+05,0.3,0.001,-1,1.26333573475115e-05,3.53126659001222e-06,"cl3"
"615",30000,0.8,0.001,-1,0.000266679577900051,7.20960120202941e-05,"cl3"
"715",3e+05,0.8,0.001,-1,1.50395528284923e-05,2.08340200718757e-06,"cl3"
"815",30000,0.3,0.01,0,-0.00197534771974734,0.00362548553075453,"cl3"
"915",3e+05,0.3,0.01,0,1.85483092926486e-05,1.85110061737759e-06,"cl3"
"1015",30000,0.8,0.01,0,1.62036951517458e-05,8.76700682148043e-05,"cl3"
"1115",3e+05,0.8,0.01,0,1.52552174504914e-05,1.28602711313047e-06,"cl3"
"1215",30000,0.3,0.001,0,0.000167497483914981,5.30713361856645e-05,"cl3"
"1315",3e+05,0.3,0.001,0,1.00208354205546e-05,2.61840531220015e-06,"cl3"
"1415",30000,0.8,0.001,0,0.00014479293073089,3.36231246330834e-05,"cl3"
"1515",3e+05,0.8,0.001,0,1.34989872177435e-05,3.73850076308252e-06,"cl3"
"1615",30000,0.3,0.01,1,-0.000386870451465067,0.000379241067370835,"cl3"
"1715",3e+05,0.3,0.01,1,1.56152411121847e-05,1.98457774708955e-06,"cl3"
"1815",30000,0.8,0.01,1,8.00291633661678e-05,5.29745840951166e-05,"cl3"
"1915",3e+05,0.8,0.01,1,1.19469129204202e-05,7.3799985320389e-07,"cl3"
"2015",30000,0.3,0.001,1,0.000168051949109912,4.03851343796466e-05,"cl3"
"2115",3e+05,0.3,0.001,1,8.64658569222738e-06,2.01031618769525e-06,"cl3"
"2215",30000,0.8,0.001,1,0.000119326780922053,4.33303407452396e-05,"cl3"
"2315",3e+05,0.8,0.001,1,1.88435776523359e-05,8.09640477041456e-06,"cl3"
